stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,3.15,0,0,22.03,0,34.62,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,14,1,0,3,0,0,0,1,0,0,1,0,3,0,0,1,0,2,7,0,3,34,0,1,1,1,0,1021,3,0,1,3,12,0,0,0,0,0
 24-34,0,0,0,22.98,3.28,0,26.27,0,5.75,2.46,2.46,3.28,2.46,0.82,0.82,11.49,0,2.46,1.64,1.64,35.3,31.19,0,11.49,292.22,6.57,5.75,2.46,0,0,2002.07,0,3.28,3.28,4.93,47.61,0,0,6.57,0,0
 36-46,0,0,0,15.31,0.81,0,35.45,3.22,23.36,0.81,6.45,2.42,2.42,0,0,12.89,0,2.42,0,0,17.72,29,0,7.25,190.94,1.61,1.61,2.42,0,0,2272.79,0,0.81,0,0,37.87,0,0,4.03,0,1.61
 48-58,0,0,0,24.67,1.72,0,47.05,0,43.04,0,13.77,1.15,5.16,0,0,6.89,0,5.74,1.15,1.72,16.07,20.66,0.57,6.89,144.6,1.15,1.15,0.57,0,0.57,1768.47,0,0,0,0,35.58,0,0.57,1.72,0,4.02
 60-70,0,0,0,66.74,0,0,61.84,0,31.41,0.98,6.87,9.82,1.96,0.98,0.98,14.72,0,10.8,0,0,25.52,9.82,0,1.96,84.41,0,0.98,2.94,0,0,1445.78,0,0,0,0,15.7,5.89,0,0,0,5.89
 72-82,0,0.98,0.98,133.51,4.91,0.98,30.43,0.98,38.28,1.96,2.94,18.65,0,0,0,34.36,0,21.6,0,0.98,13.74,6.87,0,0.98,65.77,0.98,1.96,1.96,0,0,1153.45,0,0,0,0,5.89,19.63,0,0.98,1.96,0
 84-94,0,0,0,296.31,2.12,0,13.81,0,130.63,3.19,4.25,73.28,1.06,0,2.12,82.84,0,26.55,0,1.06,9.56,29.74,1.06,2.12,24.43,0,1.06,1.06,0,0,2954.59,0,0,1.06,0,5.31,109.39,0,1.06,0,1.06
 96-106,0,0,1.09,390.15,7.65,1.09,29.51,1.09,138.79,1.09,13.11,100.54,0,0,3.28,119.12,1.09,50.27,1.09,1.09,32.79,25.14,0,5.46,77.59,1.09,1.09,0,0,1.09,2440.33,0,2.19,1.09,0,0,190.16,1.09,0,3.28,3.28
108-118,0,0,6.13,347.75,4.6,1.53,15.32,0,211.41,0.77,6.13,111.83,0,0,1.53,116.43,0.77,52.85,0.77,0.77,18.38,48.26,0.77,3.06,51.32,0,0,0.77,0,0,2246.57,0,0.77,0.77,0,0,226.73,0,2.3,2.3,0.77
120,0,0,1.96,248.89,3.92,0,3.92,0,99.95,0,1.96,37.24,0,0,1.96,52.91,0,23.52,0,0,9.8,25.48,0,0,48.99,0,0,0,0,0,1007.33,0,0,0,0,0,76.43,1.96,0,1.96,0
