stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,1103.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,39.43,60.46,0,0,94.63,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,825.42,44.69,0,0,365.39,0,5.26,7.89,0,2.63,0,0,0,0,0,0,0
 10-12,0,15.73,22.03,0,9.44,110.14,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,484.63,18.88,0,0,248.61,0,0,6.29,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,33,4,3,0,0,0,2,1,0,0,0,1,0,0,0,0,12,0,0,1,50,4,0,4,1,0,2,0,25,1,25,37,10,0,4,0,0
 24-34,0,0,0,20.52,0.82,17.24,2.46,8.21,0.82,2.46,0,0.82,0.82,1.64,2.46,0,0,0.82,0,13.95,3.28,0,7.39,99.32,4.1,2.46,0.82,0,0,88.65,0,0,0.82,3.28,13.95,19.7,0,11.49,0,0.82
 36-46,0,0,0,21.75,0,12.89,4.83,1.61,0.81,4.83,0,0,2.42,0.81,0.81,0,0,0,0,17.72,1.61,3.22,6.45,62.84,4.83,0.81,0.81,0,0,86.21,0,0,1.61,1.61,0.81,8.06,0,6.45,0,0.81
 48-58,0,0,0,14.35,0,21.23,3.44,1.72,2.3,10.33,0,1.72,1.72,0.57,0.57,1.15,1.15,0,0.57,25.82,0.57,0,9.18,53.94,2.87,1.15,0,0,0,75.74,0.57,0,1.15,1.72,0,21.23,0,6.89,0,1.15
 60-70,0,0,0,2.94,0.98,7.85,2.94,4.91,1.96,8.83,0,0,1.96,0.98,2.94,2.94,0,0,0.98,26.5,1.96,0,4.91,15.7,0.98,0,0,0,0,26.5,0,0,0,1.96,0,4.91,0.98,5.89,0,2.94
 72-82,0,0,0,3.93,0,21.6,0.98,0,4.91,31.41,0,1.96,0.98,2.94,0.98,0.98,2.94,0,0,43.19,0,0,8.83,21.6,0,0,1.96,0,0.98,14.72,0,0,0,0.98,0,0.98,0.98,18.65,0.98,5.89
 84-94,0,0,0,6.37,1.06,23.36,1.06,3.19,6.37,9.56,1.06,1.06,0,3.19,1.06,5.31,1.06,1.06,1.06,32.92,2.12,0,6.37,14.87,1.06,0,1.06,0,0,91.34,0,0,0,1.06,0,2.12,0,28.68,0,7.43
 96-106,0,0,0,7.65,1.09,16.39,0,2.19,2.19,13.11,0,0,1.09,3.28,1.09,10.93,1.09,0,0,37.16,1.09,0,10.93,14.21,2.19,0,3.28,0,1.09,27.32,0,0,1.09,1.09,0,2.19,0,26.23,0,4.37
108-118,0,0,0,6.89,0.77,16.85,0,2.3,1.53,10.72,0,0,0.77,3.06,2.3,12.26,0.77,0.77,0,37.53,1.53,1.53,4.6,13.79,0.77,0,3.06,0,0.77,25.28,0,0,0,3.83,0,1.53,0,23.74,0,13.79
120,0,0,0,27.44,0,27.44,5.88,9.8,1.96,15.68,3.92,0,0,1.96,1.96,11.76,0,1.96,0,39.2,0,0,5.88,11.76,0,0,3.92,0,1.96,66.63,0,0,1.96,0,0,0,1.96,21.56,0,5.88
