stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,immune,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,7.89,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,9.44,0,0,0,0,0,0,0,0,100.7,0,0,88.12,0,3.15,0,0,9.44,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,2,23,0,0,0,0,0,11,1,21,5,0,0,0
 24-34,0,0,0,0,1.64,3.28,0.82,0,0.82,0,0,1.64,0,0,63.21,0.82,0,0,0,0,0,0,1.64,9.03,0,0,0
 36-46,0,0,0,0,0.81,3.22,0,1.61,0,0,0,1.61,0.81,0,73.32,0.81,0,0,0,0,0,0,0,16.92,0,0.81,0
 48-58,0,0,0.57,0,1.72,12.62,0,1.72,0,0,0,1.15,0.57,0,65.41,0,0.57,0,0,0,0,0,0,7.46,0,1.15,0
 60-70,0,0,0,0,0,47.11,0.98,2.94,0,0,0,0.98,3.93,0,120.73,0,0,0,0.98,0,0,0,0,12.76,0,0,0
 72-82,0,0,0,0,0,54.97,0,1.96,0,0,0,5.89,1.96,0,102.09,0,0,0,0,0,0,0,0,13.74,1.96,0,1.96
 84-94,0,0,0,0,2.12,29.74,1.06,2.12,0,0,0,3.19,2.12,0,55.23,0,0,0,1.06,0,0,0,0,2.12,0,0,3.19
 96-106,0,0,0,0,0,16.39,0,4.37,0,0,1.09,1.09,1.09,0,34.97,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,16.09,0,3.83,0,0,0,3.06,2.3,0,51.32,0,0,0,0.77,0,0,0,0,0.77,1.53,0.77,2.3
120,0,0,0,0,0,19.6,0,3.92,1.96,1.96,0,3.92,5.88,0,52.91,0,0,0,0,0,0,0,0,5.88,0,0,0
