stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,2,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,10,0,0,0,0,0,1,1,7,0,0,1,0,0
 24-34,0,0.82,2.46,0,0,1.64,0,0,0,0,0,2.46,0,0,0,0.82,0,4.1,0,0,3.28,82.91,1.64,0.82,0.82,0.82,2.46,0,1.64,41.86,0,0,0.82,0,0
 36-46,0,0.81,0,0,0,4.03,0.81,0.81,0,0.81,0,0.81,0,0,0.81,0,0,7.25,0,0.81,1.61,153.88,0.81,0.81,0,0.81,0,0,0,42.7,0,0,0.81,0,0.81
 48-58,0,1.72,0,0,0,18.94,1.15,0,0,5.74,0,0,0,0,0.57,0,0,5.16,0,0,1.15,276.57,1.15,0,0,0.57,0,0,0,39.02,0,0,1.15,0,0
 60-70,0,0,1.96,0,0,53.98,0,0.98,0,2.94,0,0,0,0,0,0,0,7.85,0,0,0.98,461.32,0,0,3.93,0,0.98,0.98,0,38.28,0,0,0,0,0
 72-82,0,1.96,5.89,1.96,0,98.17,0,0,0.98,19.63,0.98,0,0,0,0,0.98,0,9.82,0,0.98,0.98,643.97,0,0,10.8,0,0,0,0,32.39,0,1.96,1.96,0,0
 84-94,0,1.06,11.68,0,0,80.71,0,2.12,2.12,9.56,0,0,0,0,0,1.06,0,7.43,1.06,0,0,321.8,0,0,6.37,1.06,0,0,0,29.74,1.06,0,0,0,0
 96-106,0,3.28,9.84,1.09,0,65.57,1.09,0,0,6.56,2.19,0,0,1.09,1.09,0,3.28,14.21,1.09,0,1.09,325.67,0,0,15.3,3.28,0,0,0,18.58,1.09,1.09,0,2.19,1.09
108-118,0,0,3.06,0.77,1.53,59.75,0.77,0.77,0,11.49,0,0,0,0.77,0.77,0.77,0,7.66,0,0,0.77,318.64,0,0.77,8.43,0,0,0,0,8.43,0.77,0,0.77,0.77,0.77
120,0,0,17.64,1.96,0,58.79,1.96,0,0,15.68,0,0,3.92,0,1.96,1.96,0,3.92,0,0,1.96,429.19,0,0,19.6,0,0,0,0,11.76,0,0,1.96,0,0
