stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,159.37,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,26.29,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,12.59,3.15,0,0,0,0,0
 14-21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,1,0,0,152,0,1,1,0,0,0
 24-34,0,0,0,0.82,16.42,0,0,3.28,0,0,1.64,0,2.46,0,43.51,1.64,0,0.82,1.64,29.55,0,1.64,37.76,0,3.28,0.82,0,0,591.02,2.46,0,5.75,0,1.64,0
 36-46,0,0,0,0,7.25,0,0,0.81,0.81,0,0,0.81,0,0,19.34,4.03,0,0,2.42,16.92,0.81,0.81,24.98,0,3.22,0,0,0,509.99,1.61,0,3.22,0,0,0.81
 48-58,0,0,0,0.57,12.05,0,0,11.48,2.3,0.57,2.87,1.72,0,0,8.61,2.87,0,0,2.87,21.23,0,1.15,20.66,0,4.59,1.72,0,0,401.09,0.57,0,6.89,0,0.57,0.57
 60-70,0,0,0,0,35.33,0,0,13.74,3.93,1.96,0,3.93,0.98,0,14.72,6.87,0,0,0.98,19.63,0,0,16.69,0,2.94,1.96,0,0,385.74,2.94,0,4.91,1.96,0,0
 72-82,0,0,6.87,0,51.05,0.98,0,4.91,5.89,0,5.89,39.27,0,0,31.41,15.71,0.98,0,1.96,32.39,0,0,13.74,0,9.82,0,0,0,303.33,0,0,0.98,11.78,0,0
 84-94,0,0,2.12,0,73.28,0,0,7.43,11.68,0,2.12,63.72,1.06,0,40.36,18.05,2.12,0,0,35.05,0,0,8.5,0,7.43,1.06,0,0,702.01,3.19,0,1.06,28.68,1.06,1.06
 96-106,0,0,4.37,1.09,157.37,2.19,0,10.93,7.65,0,2.19,91.8,1.09,1.09,50.27,21.86,1.09,1.09,7.65,25.14,0,0,17.49,0,10.93,2.19,0,1.09,475.39,0,0,2.19,39.34,1.09,0
108-118,0,0,0.77,0,138.64,0.77,0.77,3.06,14.55,0,3.06,121.02,0,1.53,34.47,17.62,3.06,0,6.89,22.98,0,1.53,16.09,0.77,4.6,1.53,0,0,461.88,0.77,0,0.77,56.68,0.77,0
120,0,0,0,0,152.86,0,0,7.84,41.16,0,1.96,92.11,0,1.96,27.44,13.72,1.96,0,5.88,19.6,0,0,13.72,1.96,3.92,1.96,0,0,435.07,5.88,0,1.96,23.52,0,0
