stage,blastomeres,epidermis,eye,fast.muscle,immune,mesenchyme,muscle,neural,paraxial.mesoderm,slow.muscle,somites,vasculature,xanthophores
  3-4,131.78,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,15.77,2.63,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,3.15,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0
 36-46,0,0.81,0,1.61,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.15,0,0,0,0.57,0
 60-70,0,0,0,0,0,0.98,0.98,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,1.06,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,4.37,2.19,1.09,1.09,0,0,0,0,0
108-118,0,0,0,0.77,6.13,2.3,0,0.77,0,0.77,0,0,0
120,0,0,0,0,5.88,1.96,0,1.96,0,0,0,0,0
