stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,18.4,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,25.18,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,2,1,0,3,1,6,0,6,15,2,0,0
 24-34,0,0,0,0,12.31,0,0,0.82,2.46,0,0,0,0,0,0.82,0,0,4.1,0,2.46,50.07,2.46,0.82,0,0,0,0,0.82,0,9.03,0.82,0,0
 36-46,0,0,0,0,9.67,0,0,0,2.42,0,0,0,0,0,0.81,0,0,6.45,0,1.61,26.59,0,0,0,0,0.81,0,0.81,0,6.45,0,0,0
 48-58,0,0,0,0,12.05,0,0,0.57,1.72,0,0,0,0,0,0.57,0,0,6.89,0,1.15,10.9,0,1.72,0,0,0,0,0,0,2.3,0,0,0.57
 60-70,0,0,0,0,4.91,0,0,0,1.96,0,0,0,0,0,0,0,0,8.83,0.98,0.98,6.87,0.98,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0.98,0,1.96,7.85,0,0,0,9.82,0,0,0,0,0,0,0.98,0,26.5,0,1.96,10.8,1.96,0.98,0,0,0,0,0,0,0.98,0.98,0,0
 84-94,0,0,1.06,8.5,7.43,0,1.06,0,6.37,1.06,0,0,0,1.06,0,1.06,0,8.5,2.12,0,8.5,1.06,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,4.37,8.74,4.37,0,1.09,1.09,8.74,0,1.09,0,0,0,1.09,1.09,1.09,21.86,0,1.09,10.93,0,9.84,1.09,0,2.19,0,0,0,4.37,2.19,1.09,0
108-118,0,0,0,6.13,4.6,0.77,0,0.77,14.55,1.53,0,0,3.06,0.77,0.77,0.77,0,22.98,0,1.53,19.15,1.53,1.53,1.53,0,2.3,0,0,0,0,1.53,0,0.77
120,0,0,5.88,15.68,9.8,0,0,0,7.84,0,0,1.96,0,1.96,0,0,1.96,9.8,0,1.96,9.8,0,1.96,0,0,1.96,0,1.96,0,0,1.96,0,0
