stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,2,0,1,0,3,1,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,8.21,0,0,0,3.28,0,0,1.64,4.1,1.64,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0.81,14.5,0,0,0,3.22,0,0,0,0,0.81,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0.57,0.57,0,0,0.57,0.57,0,0,12.05,0,0.57,0,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,2.94,0,0,21.59,0,0,0,1.96,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,6.87,0,0.98,1.96,0.98,0,0,0,4.91,0,11.78,0.98,0,26.5,0,0,0,0.98,0,0,0,0,0.98,1.96,0,1.96,0
 84-94,0,0,0,0,0,3.19,0,1.06,0,2.12,0,0,0,32.92,0,14.87,0,0,12.74,0,0,0,3.19,0,0,0,0,1.06,3.19,0,5.31,0
 96-106,0,0,4.37,0,2.19,0,1.09,0,0,0,1.09,0,0,34.97,0,16.39,0,0,17.49,0,0,0,7.65,1.09,0,0,0,1.09,4.37,0,6.56,1.09
108-118,0,0,0.77,2.3,0.77,3.83,0,0.77,0,9.96,2.3,0,0,343.92,0,23.74,0,1.53,31.4,0.77,0.77,0,8.43,0,0,1.53,0,0.77,3.06,0,5.36,0
120,0,0,1.96,0,0,1.96,0,0,1.96,1.96,0,0,0,82.31,0,29.4,0,0,25.48,0,0,0,9.8,0,0,0,0,0,0,0,9.8,0
