stage,axial,eye,fin_mesenchyme,glial,immune,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,2.63,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,9.03,0,0,0,0,0.82,0,0,0,0
 36-46,0,1.61,0,1.61,0,0,0,0,0,5.64,0,0,0,0.81,0,0,4.03,0,0.81
 48-58,0,4.02,0,0,0,0,0.57,2.3,0,14.92,0,0,0,0.57,0,0,1.15,0,0
 60-70,0,5.89,0,2.94,0,0,0,3.93,0.98,4.91,0.98,0.98,0,0,0,0,0,0.98,1.96
 72-82,0,4.91,0,1.96,0,0,0,0.98,0.98,3.93,0.98,0,0,0.98,0,0,0,0,0.98
 84-94,0,7.43,1.06,2.12,0,0,0,1.06,1.06,3.19,0,0,0,1.06,0,0,0,0,0
 96-106,0,5.46,1.09,5.46,1.09,0,0,0,0,5.46,2.19,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0,0.77,0,0,0.77,2.3,1.53,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0
