stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,5.26,0,0,0,23.66,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,86.75,0,0,0,52.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,12.59,0,6.29,0,0,0,28.32,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,204.55,6.29,0,0,69.23,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,9,4,0,19,0,0,0,9,0,0,0,0,0,0,0,0,0,19,0,0,12,248,6,0,2,7,0,0,0,13,0,1,25,88,0,0,2,0,0
 24-34,0,0,0,4.1,0,0,49.25,0,0,0,4.93,0,0,0,0,0,0,0,0,0.82,30.37,0,0,5.75,427.67,1.64,0,0,0,0,1.64,0,0.82,0,0.82,2.46,111.64,0,0,3.28,0,0
 36-46,0,0,0,1.61,0,0,94.26,0,0,0,14.5,0,0,1.61,0,0,0,0.81,0,1.61,33.84,0,1.61,4.83,455.2,1.61,1.61,0,0,0,0.81,0,0,0,0,0.81,111.18,0,0,1.61,0,0
 48-58,0,0,0,6.31,0.57,0,101.56,0.57,0,2.3,32.13,0,0,0.57,1.15,0,1.15,0.57,0,1.15,38.44,0,2.87,7.46,652.99,0,0.57,2.3,0,0.57,0.57,0.57,0,0,0,0,98.12,0,0,2.87,0,1.15
 60-70,0,0,0,1.96,0,0,146.25,0,0.98,1.96,65.76,0,0,0,0.98,0.98,1.96,0,0,0,52.02,0,2.94,4.91,1001.15,0.98,0,0.98,0,0.98,0.98,0,0,0,0,0,108.95,0,1.96,0,0.98,1.96
 72-82,0,2.94,0,4.91,0,0,211.06,0,0.98,6.87,150.19,1.96,0,0.98,4.91,1.96,0.98,0.98,0.98,0,90.31,0,5.89,8.83,1183.88,0.98,0.98,3.93,0,0.98,0,0,0,0,0,0,93.26,0,1.96,5.89,4.91,0.98
 84-94,0,1.06,0,11.68,0,0,141.25,0,2.12,3.19,93.46,0,0,1.06,13.81,0,1.06,0,0,0,56.29,0,4.25,13.81,643.59,2.12,2.12,4.25,0,0,2.12,0,0,0,0,0,52.04,0,1.06,4.25,4.25,0
 96-106,0,0,0,5.46,2.19,0,116.93,2.19,1.09,3.28,121.31,1.09,0,0,19.67,1.09,1.09,2.19,1.09,0,52.46,1.09,2.19,3.28,580.3,0,2.19,2.19,0,2.19,0,0,0,0,0,0,30.6,1.09,1.09,3.28,5.46,0
108-118,0,0.77,0,9.19,0,0.77,90.38,0,0,3.06,119.49,1.53,0,0.77,9.96,1.53,0,0.77,0,0,46.72,0,2.3,6.89,605.88,0.77,1.53,3.83,0,1.53,0.77,0,0,0,0,0,19.92,0,1.53,3.06,1.53,1.53
120,0,0,0,11.76,0,0,105.83,1.96,0,3.92,111.71,3.92,0,0,15.68,1.96,0,1.96,0,0,35.28,0,3.92,13.72,656.53,0,1.96,0,0,0,1.96,0,0,0,0,0,25.48,0,1.96,1.96,3.92,1.96
