stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.35,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,3.15,0,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.64,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,1,0,0,0,1,0,0,91,0,0,0,0,0
 24-34,0,0.82,0,4.93,0,0,3.28,0,0.82,0,0,0,0,0,0,0,0,2.46,0,0,1.64,534.38,0,9.85,0,0,0.82,0,0.82,0.82,217.53,0,0,0.82,0,0
 36-46,0,0,0,2.42,0,0,27.39,0,0,8.86,0,0,0,0,0,0.81,0.81,3.22,0,0,0,1205.28,0,15.31,0.81,0,0,0,0,0,356.11,0,0,0,0,0
 48-58,0,1.15,0,1.72,0,0,140.58,0.57,1.15,16.64,0,0,0.57,0,0,0,0,10.9,0,0,3.44,1405.25,1.15,4.02,0,0,2.3,0,0,0,290.35,0,0,0,0,0.57
 60-70,0,0,0,1.96,0.98,0,343.53,0,0.98,31.41,0,0,1.96,0.98,0.98,0,0,15.7,0,0,2.94,2261.43,0.98,4.91,0.98,0,0.98,0,0,0,332.74,0,0,0,0,1.96
 72-82,0,0,0,8.83,0,0,400.52,0,1.96,39.27,0.98,0,0,0.98,0.98,0.98,0.98,31.41,0.98,0.98,2.94,1976.09,0,10.8,1.96,0,1.96,0,0.98,0,170.81,0,0,0,0.98,1.96
 84-94,0,3.19,0,8.5,3.19,0,296.31,1.06,0,42.48,0,1.06,0,0,2.12,1.06,0,21.24,0,0,3.19,1024.87,0,9.56,1.06,0,6.37,0,0,0,92.4,0,1.06,0,1.06,1.06
 96-106,0,0,0,13.11,4.37,0,208.73,0,0,33.88,0,1.09,0,1.09,0,1.09,1.09,17.49,0,0,0,817.45,0,13.11,1.09,0,5.46,0,0,0,51.36,2.19,0,0,1.09,3.28
108-118,0,0,0,9.19,2.3,0.77,150.89,0,0,27.57,1.53,0,1.53,0.77,0,0,0.77,16.09,0,0.77,0.77,889.28,0,5.36,0.77,0,1.53,0,0,0,42.89,3.06,0,3.06,0.77,0
120,0,0,0,9.8,3.92,0,107.79,0,1.96,33.32,0,0,1.96,0,0,0,0,7.84,0,0,3.92,770.2,1.96,7.84,0,0,0,0,0,0,25.48,0,0,1.96,0,1.96
