stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,46,132,1,0,0,0,0,5,9,0,1,0,0,0,0,24,2,0,15,15,2,0,1,1,0,0,2,52,18,0,0,0,0,0
 24-34,25.45,45.97,0,0,1.64,0,0,0,18.06,0,0.82,0,0,1.64,0.82,41.04,0.82,0,12.31,37.76,0,0,0,0,0,0.82,0,97.68,13.95,0,0,0.82,0,0.82
 36-46,1.61,4.03,0,0,3.22,0,0,0,4.83,0.81,0,0.81,0,2.42,0,20.95,0,1.61,15.31,19.34,0,0,0,0,0,1.61,0,57.2,11.28,0,0,0,0,0.81
 48-58,0,1.72,0,0,6.89,0,0,1.15,1.72,0,0,0,0,1.15,0,33.28,0,1.72,7.46,27.54,0,0,0,0,0,0,0,38.44,5.74,0,0,0.57,0,0.57
 60-70,0,2.94,0,0,20.61,0,1.96,4.91,4.91,0,0,0.98,0,2.94,0,32.39,0,2.94,7.85,26.5,0.98,0.98,0,0,0,0.98,0,33.37,1.96,0,0.98,0,0,2.94
 72-82,0,2.94,0.98,0,46.14,0.98,2.94,3.93,12.76,0,0,1.96,0.98,4.91,0,52.03,0,1.96,9.82,56.94,0,0,0,0,0,0,0,29.45,0.98,0,3.93,0.98,2.94,5.89
 84-94,0,5.31,0,0,37.17,0,0,2.12,24.43,0,0,1.06,0,11.68,0,40.36,0,1.06,9.56,37.17,0,0,0,0,0,0,0,44.61,0,0,3.19,1.06,1.06,4.25
 96-106,0,2.19,1.09,0,56.83,1.09,2.19,4.37,27.32,0,0,12.02,0,56.83,0,40.44,1.09,6.56,2.19,55.74,0,0,0,0,0,3.28,0,22.95,2.19,1.09,3.28,0,1.09,5.46
108-118,0.77,3.06,0,0.77,53.62,0.77,0,4.6,33.7,0,0,11.49,0.77,146.3,0,32.94,0,2.3,0.77,41.36,0.77,0,2.3,0,0,0.77,0,13.79,0.77,0,0.77,0,0,11.49
120,0,0,0,0,37.24,0,0,7.84,19.6,0,0,5.88,0,64.67,0,17.64,0,3.92,1.96,45.08,0,0,1.96,0,1.96,0,0,7.84,3.92,0,0,0,0,3.92
