stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,1.64,0,0,0,0,0,1.64,0,1.64,0,0.82,0.82,0,4.93,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0.81,0,2.42,0.81,0,0,3.22,4.03,0.81,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0.57,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0.98,0.98,0,0,0.98,0,0.98,0,1.96,2.94,0,0.98,3.93,0,0,0,1.96,9.82,0.98,0
 84-94,0,0,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0,1.06,6.37,0,0
 96-106,1.09,0,1.09,1.09,0,1.09,1.09,0,0,2.19,0,0,1.09,0,0,0,0,3.28,0,0
108-118,0,1.53,0,0,0.77,0,5.36,0,0,3.06,0.77,0,4.6,0,0.77,0.77,0.77,9.19,0,0.77
120,0,3.92,0,0,0,3.92,23.52,0,0,3.92,3.92,0,7.84,0,0,0,0,9.8,0,0
