stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,76.23,5.26,0,0,26.29,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.03,6.29,0,0,56.65,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,13,2,3,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,4,39,7,0,0,1,0,0,2,0,0,3,14,0,1,0,1
 24-34,0,0,0,0.82,6.57,0,4.93,0.82,0.82,0,0.82,0,0,0.82,0,0,0,0,0.82,0,15.6,0.82,0,8.21,72.24,3.28,0.82,1.64,0,3.28,0,0,0,0.82,1.64,15.6,0,4.93,0,0.82
 36-46,0,0,0,0,3.22,0,8.06,0,0,0.81,1.61,0,0,1.61,0,0,0,0.81,0,0,11.28,0,0.81,7.25,29.81,2.42,0.81,0,0,1.61,0,0,0.81,0,0,7.25,0,0.81,0,0
 48-58,0,0,0,0,0,0,10.33,0,0,0.57,3.44,0,0,0.57,0,0,0,1.15,0,0.57,12.05,0,0.57,2.87,16.64,0,0,0,0,1.15,0,0,0.57,0.57,0,5.16,0,1.15,0,1.15
 60-70,0,0,0,0,3.93,0,7.85,0,0.98,1.96,4.91,1.96,0,0,0.98,0,0,0.98,0,0.98,13.74,0.98,0,0.98,5.89,0,0,0.98,0,1.96,0,0,0,0,0,0,0,2.94,0,1.96
 72-82,0,0,0,0,1.96,0.98,10.8,0.98,0,1.96,6.87,13.74,0,0,0.98,0,2.94,1.96,0.98,0,22.58,0,0.98,5.89,11.78,0,0,0,0,0.98,0,0,0,0,0,0,0,5.89,0.98,0
 84-94,0,0,0,0,5.31,0,7.43,0,0,2.12,6.37,12.74,0,0,1.06,0,1.06,0,0,2.12,19.12,0,2.12,3.19,10.62,0,1.06,1.06,0,0,0,0,0,1.06,0,1.06,2.12,1.06,1.06,3.19
 96-106,0,0,2.19,0,2.19,1.09,9.84,0,0,0,8.74,151.91,0,1.09,3.28,2.19,0,0,1.09,1.09,30.6,0,0,2.19,20.76,1.09,2.19,2.19,0,1.09,0,0,1.09,0,0,1.09,3.28,2.19,1.09,0
108-118,0,0,0,0,2.3,0,8.43,0,3.06,1.53,6.13,252,0,0,2.3,0.77,0.77,1.53,2.3,0.77,16.85,0,0,3.83,22.98,0.77,0,0,0,0.77,0,0,0,0,0,1.53,0,2.3,1.53,1.53
120,0,0,0,0,7.84,0,5.88,1.96,0,1.96,11.76,148.94,0,0,1.96,0,1.96,0,0,0,5.88,0,0,3.92,29.4,1.96,1.96,1.96,0,3.92,0,0,0,0,0,0,0,3.92,0,0
