stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,heart,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,somites,spinal.cord,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,4,1,0,1,1,1,1
 24-34,0,0,0,0,1.64,0.82,0,0.82,2.46,0.82,22.16,0.82,0.82,3.28,1.64,2.46,0.82
 36-46,0,0,0,0,3.22,0,0,0,4.83,0,16.92,0,0,2.42,0,2.42,0
 48-58,0,0,0.57,0,9.75,1.15,0,0,1.72,0.57,30.99,0,0,1.72,0,2.3,0
 60-70,0,0,0,0,7.85,0.98,0,0,0.98,0,22.58,0,0,0.98,0,0,0.98
 72-82,0,0,0,0,2.94,2.94,0,0,0.98,0,13.74,0,0,0.98,0,1.96,0
 84-94,0,0,0,1.06,2.12,0,1.06,0,1.06,0,7.43,0,0,1.06,0,0,2.12
 96-106,0,0,0,0,1.09,0,0,0,0,0,3.28,0,0,1.09,0,0,1.09
108-118,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,0,0,0.77
120,0,0,0,0,3.92,1.96,0,0,1.96,0,27.44,1.96,0,7.84,0,0,0
