stage,epidermis,eye,glial,gut,ionocyte,mesenchyme,mural.cell,neural,notochord,periderm,spinal.cord
  7-9,0,0,0,0,0,0,0,5.26,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0.82,0,0,2.46,0,2.46,0
 36-46,1.61,1.61,0,0,0,0,0,4.83,0.81,0.81,0
 48-58,0,0.57,0,0,0,0,0,2.3,0,0,0.57
 60-70,0,1.96,1.96,0,0,1.96,0,8.83,0,0,0
 72-82,0,1.96,2.94,0.98,0,0.98,0,3.93,0,0,0.98
 84-94,0,0,0,1.06,0,1.06,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,1.09,0,0,2.19,0
108-118,0,0,0,0,0.77,0,0,0,0,0.77,0
120,0,0,0,0,1.96,0,0,0,0,0,0
