stage,epidermis,eye,glial,heart,mesenchyme,muscle,neural,notochord,olfactory,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,1,0,0,0,1,0,0,0,0,0,1,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0
 36-46,0,0.81,0,0,0.81,0.81,0,0,0.81,0.81,0,0,0.81,0
 48-58,0,0.57,0,0.57,0,0,0.57,0,0,0,0,0.57,0.57,0
 60-70,0,2.94,0,0,0,0,2.94,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,2.94,0,1.96,0,0,0,0,1.96,0.98,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,1.09,2.19,0,0,1.09,0,1.09,0,0,0,0,1.09,1.09,0
108-118,0,0,0.77,0,0,0,0.77,0,0,0,0,0,0.77,0
120,0,1.96,0,0,5.88,0,0,1.96,0,0,0,0,0,1.96
