stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,392.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,56.65,6.29,0,0,15.73,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,15,16,0,2,0,0,0,1,0,0,0,2,1,1,0,0,8,0,0,10,20,0,0,0,3,0,0,2,16,2,2,9,22,0,9,0,0
 24-34,0,0.82,0,11.49,1.64,0,2.46,0,0,1.64,1.64,1.64,0,2.46,1.64,0.82,0,0.82,0,19.7,0,0,13.13,21.34,0.82,0.82,0,0,0,4.93,0,0,1.64,0,3.28,10.67,0,18.06,0,0
 36-46,0,0,0,3.22,0,0,10.47,0,0,0.81,0.81,0,0,6.45,0.81,0,0,0.81,1.61,17.72,0,1.61,2.42,41.89,0,0.81,0.81,0,0,1.61,0,0,1.61,0.81,0,12.09,0,7.25,0,0.81
 48-58,0,0,0,4.02,0,0,8.03,0,0,1.72,2.3,0,0,4.02,1.15,0.57,0.57,1.15,0,18.94,0.57,0.57,8.03,14.92,0,0.57,0,0,0,2.87,0,0,0.57,0.57,0,7.46,0,4.59,0,2.87
 60-70,0,0,0,9.82,0,0,3.93,0,0,2.94,2.94,0,0,0.98,2.94,0.98,0,0,0,30.43,0,0,2.94,6.87,0,0.98,0.98,0,0,6.87,0,0,0,0,0,1.96,0,6.87,0,0.98
 72-82,0,0,0,3.93,0,0,3.93,0,0.98,2.94,12.76,0.98,0,4.91,4.91,0.98,0.98,0,0,53.99,0,3.93,3.93,6.87,0,0,1.96,0,0.98,5.89,0,0,0,0,0,5.89,0.98,16.69,3.93,3.93
 84-94,0,0,0,7.43,1.06,0,4.25,0,2.12,5.31,4.25,0,0,3.19,14.87,4.25,4.25,1.06,0,25.49,0,0,3.19,9.56,0,0,6.37,0,0,8.5,0,0,0,0,0,1.06,3.19,22.3,2.12,3.19
 96-106,0,0,0,15.3,2.19,0,8.74,0,1.09,3.28,12.02,1.09,0,9.84,9.84,3.28,1.09,0,1.09,39.34,2.19,2.19,3.28,17.49,1.09,3.28,7.65,0,1.09,12.02,0,0,0,0,0,3.28,0,30.6,3.28,3.28
108-118,0,0,0,20.68,3.83,1.53,3.83,2.3,1.53,5.36,10.72,4.6,0,2.3,14.55,2.3,4.6,0,0,35.23,0.77,4.6,7.66,22.98,3.06,0,3.06,0,0.77,7.66,0,0,1.53,0.77,0,0,0,19.92,3.06,3.06
120,0,0,0,23.52,7.84,1.96,7.84,1.96,0,1.96,9.8,3.92,0,0,11.76,0,3.92,0,0,47.03,0,1.96,13.72,11.76,3.92,1.96,3.92,0,0,13.72,0,0,0,0,0,0,3.92,19.6,5.88,0
