stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,2,0,0,0,0,0,1,0,0,0,4,0,0,3,12,1,0,1,0,2,1,27,5,2,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,2.46,0,0,0.82,34.48,0,0.82,0,0.82,0,0,0,0,3.28,0
 36-46,0,0,1.61,0,0,0,0,0,0,0,2.42,0,0.81,0.81,78.96,0,0.81,0,0.81,0,0,0,0,2.42,0
 48-58,0.57,0,4.02,0,0,1.72,0,0,0,0,1.15,0,0,1.15,81.48,0,0,0,0.57,0,0,0.57,0,2.3,0.57
 60-70,0.98,0,6.87,0.98,0,0,0,0,0,0,4.91,0,0,0,98.15,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,8.83,0,0,3.93,0,0,0,0.98,4.91,0,0.98,0.98,125.65,0,0,0,0,0,0,0,0,2.94,0
 84-94,0,0,11.68,0,1.06,2.12,0,0,0,0,2.12,0,0,0,67.97,0,0,0,2.12,0,1.06,0,0,2.12,0
 96-106,2.19,1.09,9.84,0,1.09,1.09,0,0,0,1.09,6.56,1.09,0,0,54.64,0,0,0,3.28,0,0,0,0,0,0
108-118,3.06,0,3.06,0,0,1.53,0,0,0.77,0.77,3.83,0,0,0,65.87,0,0,0,0,0,0,0,0,1.53,0.77
120,0,0,1.96,0,0,1.96,0,0,0,3.92,3.92,0,0,0,84.27,0,0,0,0,0,0,0,0,1.96,0
