stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,9.44,0,0,0,0,0
 14-21,0,0,3,7,0,0,0,0,0,0,0,0,3,0,24,1,0,0,2,1,2,0
 24-34,0,0,1.64,3.28,0,0,1.64,0,0,0,0,0.82,3.28,0.82,13.95,0.82,0,0.82,0,0,1.64,0.82
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,1.61,0,10.47,0,0,0.81,0,0,0.81,0
 48-58,0,0,0,2.87,0,0,0.57,0,0,0,0,0,0.57,0.57,2.87,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0.98,0,0,0,0,0.98,0,0,0,4.91,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,0.98,0.98,0,1.96,0,0,0,1.96,7.85,0.98,0,0,0,0,1.96,0
 84-94,0,0,0,0,1.06,0,1.06,1.06,0,0,1.06,0,1.06,0,3.19,0,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,0,0,0,0,0,0,1.09,1.09,0,3.28,0,0,1.09,0,0,0,1.09
108-118,0,0,0,0,0,0,0,0,0.77,0,1.53,0,2.3,0.77,2.3,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,1.96,7.84,0,0,0,0,0,0,0
