stage,axial,blastomeres,endoderm,epidermis,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,26.36
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,6.13
  7-9,0,0,0,0,0,0,0,0,0,0,10.51,2.63,5.26
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,1,0,2,0,2,0,11
 24-34,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,1.09,1.09,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,0.77,0,0.77,0,1.53,0,0
120,0,0,0,3.92,0,0,0,0,0,0,0,0,0
