stage,epidermis,eye,glial,iridophores,mesenchyme,mural_cell,neural,periderm,pgc,pronephros,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,3.28,0,0,0,0,0,0.82
 36-46,0,1.61,0,0,0,0.81,3.22,0,0,0,1.61,0,0
 48-58,0,2.87,0.57,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0.98,0,0.98,0,0,3.93,0,0,0,0.98,0,0
 72-82,0,0,0,0,1.96,0,0,0,0,0,0,0.98,0
 84-94,2.12,0,1.06,0,0,0,0,2.12,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0.77,0,0.77,0,1.53,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0
