stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,1,0,0,0,0,0,0,9,3,0,0,137,1,0,0,1,0,0,1,1,21,0,0,0,0,1
 24-34,0,0,0.82,3.28,5.75,0,0,10.67,0,1.64,0,0,0,0,28.73,6.57,0.82,0,487.59,0,0.82,0.82,0,0,0,0,0,104.25,0,0,0,0,0.82
 36-46,0,0,0,4.83,7.25,0.81,0,49.15,0,0,0,0,0.81,0,4.83,21.75,0,0,358.52,0,0.81,0,0,0,1.61,0,0,90.23,0,0,0,0,6.45
 48-58,0.57,0,1.15,8.61,19.51,0,0,82.63,0,1.15,0,0,1.72,0,8.61,24.67,0,0,180.17,0,0,0,0,0,0,0,0,35.58,0,0,0,0,6.31
 60-70,0,0,1.96,11.78,39.26,0,0,85.39,0,0,0,0,2.94,0,2.94,30.43,0,0.98,106,0,0,0,0,0,0.98,0,0,8.83,0,0,0.98,0,6.87
 72-82,0,0,1.96,51.05,51.05,0,0,105.04,0.98,1.96,0.98,0,1.96,0.98,3.93,95.22,0,0.98,136.45,0,0.98,0,0,0,0.98,0,0,4.91,0.98,0.98,1.96,0,1.96
 84-94,0,0,3.19,38.23,93.46,0,0,74.34,0,1.06,0,0,2.12,0,3.19,60.54,2.12,1.06,86.03,0,1.06,1.06,0,0,2.12,0,0,2.12,1.06,0,3.19,0,3.19
 96-106,0,0,2.19,50.27,102.73,0,2.19,85.24,3.28,0,0,0,1.09,0,2.19,60.11,1.09,9.84,107.1,0,0,0,0,3.28,3.28,1.09,0,1.09,0,1.09,0,0,7.65
108-118,0,0,0,34.47,103.41,0.77,0,51.32,0.77,0,0,0.77,1.53,0,0,57.45,1.53,6.13,84.26,0,2.3,2.3,0,0,0.77,0,0,0.77,0,0,0,0.77,3.06
120,0,0,5.88,15.68,45.08,1.96,0,54.87,0,0,0,0,0,1.96,0,54.87,0,13.72,56.83,1.96,3.92,1.96,0,1.96,0,0,0,1.96,0,0,0,0,1.96
