stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,18.39,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,81.49,10.51,0,63.09,0,0,0,13.14,0,0,0,0,0,65.72,0,0,0,0,0,0,0,0,0,0,0,99.89,63.09,0,0,144.58,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,66.09,0,6.29,0,9.44,0,0,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,147.91,37.76,0,0,37.76,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,5,45,7,0,0,0,5,0,2,11,0,0,0,0,0,0,0,0,25,0,0,18,308,11,0,1,3,0,8,1,4,170,0,2,0,0
 24-34,0,0,0.82,1.64,18.88,0.82,0,2.46,0,12.31,1.64,5.75,0.82,0,4.1,0,0.82,0,0,0,0,35.3,0,0.82,9.85,776.53,45.97,0.82,0,0,0,5.75,0.82,3.28,269.24,0,3.28,0,0
 36-46,0,0,0,0,16.11,0,0,18.53,0,8.06,0.81,8.86,0,0,1.61,0,0.81,0,0,0,0,47.53,0,1.61,12.09,495.49,56.4,0,0,0,0,4.83,0.81,0,181.28,0,0,0,0.81
 48-58,0,0,0,0,10.33,0,0,27.54,0.57,18.94,1.15,20.66,0,0,3.44,0.57,0.57,0,0,0,0,114.19,0,0,12.05,305.26,44.18,0.57,0,0,0,4.59,0,0,115.91,0,0,0.57,0
 60-70,0.98,0,0.98,0,8.83,0.98,0,43.19,0.98,20.61,1.96,58.89,0,0,4.91,0,0,0,0,0,0.98,228.69,0,5.89,12.76,293.48,42.21,0,0.98,0,1.96,3.93,0,0,72.63,2.94,0.98,1.96,1.96
 72-82,0,0,0,0,10.8,0.98,0.98,74.61,0,33.38,2.94,114.85,0.98,0,4.91,0.98,2.94,0,0,0.98,0,315.11,0,11.78,10.8,279.77,45.16,0.98,3.93,0,6.87,0,0,0,70.68,13.74,1.96,11.78,0
 84-94,0,0,0,0,21.24,3.19,0,76.47,1.06,61.6,1.06,78.59,0,0,3.19,4.25,0,1.06,2.12,0,0,209.22,0,8.5,10.62,198.6,64.78,0,0,0,5.31,4.25,0,0,52.04,6.37,0,10.62,0
 96-106,0,0,1.09,0,33.88,5.46,1.09,62.29,1.09,65.57,3.28,119.12,2.19,0,5.46,3.28,2.19,1.09,0,1.09,0,204.36,0,13.11,9.84,179.23,43.71,1.09,0,0,9.84,4.37,1.09,0,78.68,12.02,0,6.56,0
108-118,0,0,0,0,36,1.53,0.77,48.26,0,108,2.3,110.3,0,0,2.3,0.77,0.77,0.77,0.77,0,0,196.09,0.77,5.36,6.13,193.02,37.53,0.77,0,0,10.72,3.06,0,0,38.3,3.83,0,7.66,0
120,0,0,0,0,37.24,0,0,41.16,0,68.59,0,96.03,0,0,1.96,0,0,0,0,1.96,0,121.51,1.96,11.76,9.8,162.66,48.99,0,0,0,13.72,0,0,0,27.44,5.88,0,0,0
