stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,21.03,5.26,0,0,15.77,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,3.15,0,0,0,0,0,0,0,69.23,9.44,0,0,31.47,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,0,0,1,0,1,13,0,0,0,0,0,2,4,9,0,0,1
 24-34,0,0,0,0.82,0,2.46,0,0,0.82,1.64,0.82,0,0.82,32.83,0,0,0.82,0,0,0,0.82,2.46,0,0,4.1
 36-46,0,0,0,0,0.81,1.61,0,0.81,0,1.61,4.83,0,0,16.92,0,0,0,0,0,0,0,0.81,0.81,0,1.61
 48-58,0,0,0,0.57,0,2.87,0.57,2.3,2.3,0.57,2.87,0,0,5.74,0,0,0,0,0,0,0,0.57,0,0.57,1.72
 60-70,0,0,0,0,0,0,0,0.98,3.93,1.96,2.94,0,0,9.82,0,0,0,0,0,0,0,0.98,0,0,0.98
 72-82,0,0,0,0,0,0.98,0,0.98,0,0.98,10.8,0,0,11.78,0,0,0,0,0,0,0,0.98,0,0,0.98
 84-94,0,0,0,0,0,2.12,0,0,3.19,1.06,4.25,0,0,7.43,0,0,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,0,0,0,0,2.19,0,0,2.19,0,0,3.28,0,0,0,0,1.09,0,0,1.09,0,0,2.19
108-118,0,0,0,0,0,1.53,0,0.77,3.83,0.77,3.06,0,0,7.66,0,0,0,0,0,0,0,0.77,0,0,0.77
120,0,0,0,0,0,0,0,0,1.96,0,11.76,1.96,0,13.72,0,3.92,0,0,0,0,0,0,0,0,0
