stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,13,2,0,2,0,2,0,3,1,2,2,0,4,0,0,9,0,2,0,0,2,43,1,7,1,0,0,5,3,18,0,2,39,0,0,1,0,0
 24-34,0,0,0.82,2.46,4.93,0,0,4.93,0,0.82,0,9.85,0,0.82,4.93,0,8.21,0,1.64,9.03,0,3.28,0.82,0.82,2.46,119.02,0,27.09,0.82,0,0,7.39,0,30.37,0,0.82,61.56,0,0,10.67,0,0.82
 36-46,0,0,0,0.81,1.61,0,0,3.22,0,2.42,0.81,4.03,0,0,1.61,0,5.64,0,0.81,2.42,2.42,3.22,0.81,0.81,0,219.14,0,14.5,1.61,0,0,11.28,0.81,8.06,0,0,52.37,0,0,3.22,0,0
 48-58,0,0,0,0,1.15,0,0,18.94,0,0.57,0.57,8.03,0.57,0.57,4.59,0,0.57,0,0.57,1.15,4.02,4.59,2.3,0,2.87,208.86,0,12.05,1.15,0,0,4.02,0,2.3,0,0,32.71,0,0,5.16,0,1.15
 60-70,0,0,0,0,0.98,0.98,0,129.56,0,1.96,0,9.82,0.98,1.96,3.93,0,1.96,0,0.98,2.94,1.96,9.82,2.94,0,0,294.46,0,10.8,0.98,0,1.96,2.94,0,7.85,0,0,41.22,0.98,0,4.91,0,0.98
 72-82,0,0,4.91,0,7.85,0,0,444.69,0.98,1.96,0.98,42.21,3.93,0.98,5.89,0,0,0.98,0.98,1.96,0.98,22.58,1.96,2.94,0,333.77,0.98,24.54,2.94,0,4.91,8.83,0,2.94,0.98,0,26.5,6.87,1.96,17.67,1.96,1.96
 84-94,0,0,7.43,0,8.5,1.06,1.06,372.78,0,1.06,0,25.49,13.81,1.06,9.56,0,3.19,0,0,3.19,2.12,9.56,4.25,0,2.12,147.62,2.12,26.55,5.31,0,0,10.62,0,10.62,0,0,12.74,14.87,2.12,4.25,2.12,1.06
 96-106,0,0,6.56,0,9.84,1.09,1.09,340.97,1.09,1.09,0,41.53,15.3,0,14.21,1.09,7.65,2.19,1.09,1.09,5.46,15.3,2.19,0,1.09,147.53,0,37.16,9.84,0,4.37,14.21,0,10.93,0,0,14.21,22.95,2.19,14.21,2.19,1.09
108-118,0,0,3.83,0,9.96,2.3,4.6,245.87,0,0.77,0.77,35.23,17.62,0,1.53,2.3,3.83,0.77,7.66,6.89,2.3,9.96,3.06,3.06,2.3,186.89,0.77,22.21,6.89,0,4.6,11.49,0,11.49,0,0,8.43,22.21,1.53,15.32,2.3,9.19
120,0,0,1.96,0,15.68,0,0,274.37,0,3.92,1.96,29.4,11.76,0,5.88,0,1.96,0,1.96,7.84,0,13.72,3.92,0,7.84,215.58,0,19.6,3.92,0,7.84,5.88,0,7.84,0,0,13.72,5.88,1.96,3.92,0,1.96
