stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,0,0,0,0,0,0,0,0,1,1,0,0,3,0
 24-34,0,0.82,0,0.82,0,0,1.64,0.82,0,0,0.82,0,0,0,0,0,0,0,0,3.28,0,0.82,38.58,0,10.67,0,0,0,0,0,1.64,0,8.21,0,0,10.67,0
 36-46,0,0,0.81,0,0,0,3.22,0.81,0,0,4.83,0,0,0,0,0,0,0,0,4.83,1.61,0,74.93,0,20.95,0,0,0,0.81,0,0,0,23.36,0,0,4.03,0
 48-58,0,0,0.57,0,1.15,0,24.67,0,1.15,0,14.92,0,1.15,0,0,0,0,0,0.57,11.48,0,1.15,119.93,0,12.05,0,0,1.15,0.57,0,0.57,0,22.95,0,0,8.03,0
 60-70,0,0,0.98,0,0.98,0,211.03,0,0.98,0,7.85,0,0.98,0,0,0,0,0,0,28.46,0.98,0.98,327.83,0,17.67,0,0,0,1.96,0,0.98,0,19.63,0,0,5.89,0
 72-82,0,0,3.93,0,4.91,0,491.81,0,0,0.98,40.25,0,2.94,0.98,0,1.96,0.98,0.98,0,41.23,0.98,4.91,475.12,0,32.39,0.98,0,0,0.98,0.98,0,0,23.56,0,1.96,11.78,0
 84-94,0,0,3.19,0,5.31,3.19,248.52,1.06,0,0,28.68,2.12,3.19,1.06,0,2.12,4.25,1.06,0,19.12,3.19,0,280.38,0,31.86,0,0,0,7.43,0,0,0,9.56,0,4.25,6.37,0
 96-106,0,0,6.56,0,5.46,5.46,198.9,0,1.09,0,28.41,2.19,1.09,3.28,0,1.09,8.74,2.19,0,26.23,1.09,1.09,281.95,0,49.18,1.09,0,1.09,5.46,0,0,0,15.3,2.19,1.09,9.84,0
108-118,0,0,4.6,0,7.66,0.77,169.28,1.53,0.77,0,28.34,2.3,0.77,1.53,1.53,0,3.06,1.53,0,25.28,0.77,1.53,276.51,0,22.98,0.77,0,0,3.06,0.77,0,0,7.66,1.53,0.77,9.19,1.53
120,0,0,0,0,7.84,1.96,141.1,1.96,1.96,3.92,17.64,1.96,1.96,3.92,0,0,1.96,0,0,11.76,0,3.92,313.57,1.96,23.52,0,0,0,5.88,0,0,0,5.88,0,0,19.6,0
