stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,heart,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,28.92,0,0,0,13.14,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,44.06,0,0,0,15.73,0,0,0,3.15,0,0,0,0
 14-21,0,0,4,0,2,0,0,0,0,0,0,0,2,1,20,0,0,1,1,0,0,5,0,4,4,0,0
 24-34,0,0,1.64,0,5.75,0,0,0,0.82,0,0,0,4.93,4.1,69.77,0,0,1.64,0,0,0,0,0,0.82,17.24,0,0
 36-46,0,0,1.61,0,9.67,0,0,0.81,0,0,0,0,7.25,0.81,37.06,0.81,0,0,0,0.81,0,0,0,0,1.61,0,0
 48-58,0,0,1.72,0,10.9,0.57,0,4.59,0,0,0,0,1.15,0,12.05,0,0,0,0,0.57,0,0,0,0,1.15,0,0
 60-70,0,0,1.96,0,12.76,0,0.98,2.94,0,0,0,0,0.98,0,6.87,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,6.87,0,0,2.94,0,0,0.98,0,3.93,0,4.91,0.98,0,0,0,0.98,0,0,0,0,0.98,0.98,0
 84-94,0,0,1.06,0,7.43,0,0,2.12,0,0,0,0,1.06,1.06,3.19,0,0,0,0,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,1.09,0,3.28,0,0,2.19,0,0,0,0,2.19,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,2.3,0,0.77,0,0,0.77,0,5.36,0,0,0,0,0,0,0,0,0,0,0.77,0.77
120,0,0,1.96,1.96,3.92,0,0,7.84,0,0,0,1.96,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0
