stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,2,0,0,0,0,0
 24-34,0,0,2.46,0.82,0,4.93,0,4.93,0,1.64,0,0,0,0,0,0,0,0,0,3.28,0,0.82,47.61,0,0.82,0,0,1.64,0.82,0.82,9.85,0,0,0.82,0,0
 36-46,0.81,0,0,0.81,0,12.09,0,2.42,0,0,0,0,0,0,0,0,0,0,1.61,7.25,0.81,0,54.79,0,0,0.81,0,0,0,0,11.28,0,0,0,0,0
 48-58,0,0,1.15,0,0,22.95,0,4.02,0,2.3,0,0,0,0,0,0,0,0,1.15,4.59,0,0,24.67,0,0,0.57,0,0,0,0,5.74,0,0,0.57,0,0.57
 60-70,0,0,0.98,0,0,141.34,0,2.94,0.98,0.98,1.96,0,0,0,1.96,0,0,0,0.98,7.85,0.98,0,10.8,0,0,0,0,0,0,0,3.93,0,0,0,0.98,0.98
 72-82,1.96,0,6.87,0.98,0,721.52,0,3.93,0.98,37.3,0.98,0,0.98,0.98,0.98,0,0,0,0,41.23,1.96,0,51.05,0,0,0.98,0.98,0,0,0,1.96,0,0,0.98,1.96,0.98
 84-94,1.06,0,9.56,0,0,507.65,0,13.81,0,36.11,2.12,0,0,0,0,1.06,0,1.06,3.19,42.48,1.06,2.12,39.3,0,0,0,0,3.19,0,0,4.25,0,0,2.12,0,0
 96-106,1.09,0,9.84,3.28,0,537.68,0,10.93,0,31.69,3.28,0,1.09,4.37,0,0,2.19,2.19,1.09,38.25,1.09,4.37,41.53,0,1.09,4.37,1.09,0,0,0,1.09,1.09,1.09,4.37,0,1.09
108-118,0,0.77,9.96,1.53,0.77,411.32,0.77,9.96,1.53,13.02,3.06,0,3.83,2.3,3.06,1.53,0,0.77,0.77,32.94,0,2.3,34.47,1.53,1.53,0.77,0,3.06,0,0,0.77,0,0.77,0,0.77,0.77
120,0,0,5.88,3.92,0,219.5,0,1.96,0,9.8,5.88,0,0,1.96,0,0,0,0,0,29.4,0,1.96,27.44,1.96,0,1.96,0,1.96,0,0,0,0,0,0,0,0
