stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,27.91,0,0,5.75,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,1.61,4.03,1.61,24.98,0,0,1.61,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,1.72,0,0.57,0.57,1.15,0.57,0.57,20.08,0,0,1.72,1.72,0,0,0,0
 60-70,0,0,0,0,0,0,3.93,0,0,6.87,0,0,0,0,1.96,0,0.98,25.52,0,0,0.98,0,0.98,0,0,0
 72-82,0,0,3.93,0,4.91,0,0.98,0,0.98,7.85,0.98,0,0,0.98,6.87,2.94,0,41.23,0,0,2.94,1.96,8.83,0,0,0
 84-94,0,0,0,0,8.5,0,0,0,0,43.54,0,0,0,0,5.31,3.19,0,26.55,0,3.19,16.99,1.06,8.5,0,0,0
 96-106,0,0,4.37,0,7.65,2.19,4.37,1.09,1.09,86.33,1.09,1.09,0,2.19,2.19,10.93,0,52.46,0,5.46,9.84,2.19,62.29,1.09,1.09,2.19
108-118,0,0,1.53,0.77,13.79,0,2.3,0,1.53,66.64,3.06,0,0.77,0,6.13,5.36,0,30.64,0,1.53,10.72,1.53,55.92,0,0,0
120,0,0,0,0,7.84,0,3.92,0,0,33.32,0,0,0,0,5.88,0,0,13.72,0,0,13.72,0,13.72,1.96,0,0
