stage,axial,blastomeres,endoderm,eye,hatching.gland,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,somites,spinal.cord,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,21.03,0,0,0,5.26,0,0,0
 10-12,0,0,3.15,3.15,0,0,9.44,3.15,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,4,0,0,1,0,1,1,0
 24-34,0,0,0,0,0,0.82,3.28,0,0,0,0,0,0.82,0.82
 36-46,0,0,0,0,0,0,1.61,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0.57,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,1.96,0.98,1.96,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
