stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,12.59,0,0,40.91,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,67,7,5,0,26,0,2,1,0,2,0,0,0,0,0,0,4,0,0,3,9,1,0,5,3,0,173,1,3,1,0,11,8,0,0,21,0,0
 24-34,0,0,0,79.62,0.82,5.75,0,107.53,0.82,1.64,2.46,0,9.03,0,0.82,0,0.82,0,0,22.98,0,0,21.34,47.61,3.28,5.75,9.85,0,0,13.95,0,0,4.93,0,4.93,30.37,0,0,156.78,0,0
 36-46,0,0,0,41.09,0.81,11.28,0,83.79,7.25,7.25,0,0,13.7,0,0.81,0,3.22,0,1.61,84.6,0.81,0,34.64,101.51,3.22,15.31,4.83,0,0,16.92,0.81,0,0.81,0,0,72.51,0,0,167.58,0,0.81
 48-58,0,0,0,28.12,0,16.64,0,90.09,6.31,7.46,1.15,0,9.75,0.57,0,0,4.59,0,0.57,61.4,1.15,0.57,14.92,170.99,0,6.31,17.79,0,0,8.61,0,0,0.57,1.15,0,61.97,0,0.57,97.55,0,1.15
 60-70,0,0,0,46.13,0,28.46,0.98,96.19,12.76,10.8,0,0,12.76,0,1.96,0,7.85,0,0.98,145.27,0,3.93,9.82,179.62,0,5.89,19.63,0,5.89,0.98,0,0,0.98,0.98,0,46.13,2.94,6.87,66.74,0.98,1.96
 72-82,0,0,0,21.6,0,45.16,0,70.68,7.85,15.71,0,0,6.87,0.98,0,0,7.85,0,0,122.71,0,6.87,7.85,111.91,0,10.8,32.39,0,0.98,2.94,0,0,0,0,0,15.71,0.98,10.8,103.07,4.91,0
 84-94,0,0,0,43.54,0,36.11,0,122.13,3.19,14.87,1.06,0,5.31,0,3.19,0,3.19,0,1.06,75.4,0,5.31,8.5,79.65,0,2.12,44.61,0,0,1.06,0,0,2.12,0,0,7.43,1.06,5.31,99.83,3.19,1.06
 96-106,0,0,0,43.71,0,32.79,2.19,113.66,2.19,14.21,0,0,12.02,0,1.09,0,4.37,0,2.19,61.2,0,6.56,7.65,52.46,0,5.46,81.96,0,4.37,5.46,0,0,2.19,0,0,0,1.09,6.56,95.08,4.37,0
108-118,0,0,0,18.38,0,27.57,0,117.96,4.6,6.89,2.3,0,1.53,0.77,1.53,0.77,4.6,0.77,0,46.72,0,3.06,2.3,54.38,0,3.06,63.57,0,2.3,3.83,0,0,2.3,0,0,4.6,1.53,3.06,98.81,2.3,0.77
120,0,0,0,19.6,1.96,29.4,0,96.03,0,3.92,1.96,1.96,5.88,0,0,0,1.96,0,0,23.52,1.96,5.88,1.96,50.95,1.96,1.96,54.87,0,3.92,1.96,0,0,0,0,0,7.84,0,5.88,84.27,3.92,0
