stage,axial,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,2,0,0,0,0,2,6,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,1.64,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,2.42,0,1.61,12.09,0,0,0,1.61,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,0.57,0.57,0,0,0,0,0,2.87,0,1.15,1.15,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,0.98,0.98,0,0.98,0,0,3.93,0,0,3.93,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0,8.83,0,0.98,1.96,0,0,0,1.96,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06,4.25,0,0,0,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,0,0,1.09,1.09,0,1.09,0,0,0,4.37,0,0,2.19,0,0,1.09,2.19,0,0,0,0,1.09,1.09
108-118,0,0,0.77,0,0.77,0,0,0,0,0,0.77,0,4.6,1.53,1.53,1.53,0,0,0.77,0.77,0,0,0,0,1.53,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0
