stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,1.61,0,8.06,0,0,0,0
 48-58,0,0,0,2.3,0,1.15,0,12.62,0.57,5.74,0,0,0,0.57
 60-70,0,0,0,4.91,0,0.98,0,33.37,0,2.94,0,0,0,0.98
 72-82,0,0.98,0,1.96,0,0,0,57.92,0.98,5.89,0.98,0.98,0,0.98
 84-94,1.06,0,0,1.06,0,1.06,0,41.42,0,2.12,0,0,0,1.06
 96-106,0,1.09,0,6.56,1.09,0,1.09,83.06,0,1.09,1.09,0,0,0
108-118,0,0,0.77,3.83,0,0,0,57.45,0.77,0.77,0,0,1.53,0
120,0,0,0,0,0,0,0,64.67,0,5.88,0,0,0,1.96
