stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,75.53,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,6,2,0,0,0,1,2,0,0,0,0,0,0,3,0,0,8,15,11,0,0,0,0,5,1,2,0,8,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,0.82,0,0,0.82,0.82,0,1.64,0,0,0,0,5.75,0,0,4.93,9.03,1.64,0,0,0,0,1.64,0,2.46,0,9.85,0,0,0.82,0,0
 36-46,0,0,0,0,0,0.81,0,0,0.81,1.61,0.81,0,0,0,0,0,5.64,24.17,0,0,4.83,20.95,4.83,0,0,0,0,0,0,0.81,0.81,10.47,0,0,0,0,2.42
 48-58,0,0,0,0,0,1.15,1.72,0,4.59,7.46,0,0,1.72,0,0.57,0,5.16,13.77,0,1.15,1.15,11.48,1.15,0,0,0,0.57,0,0,0,0,9.18,0,0,0.57,0,8.03
 60-70,0,0,0,0,1.96,0.98,9.82,0.98,8.83,40.24,0,0,1.96,0,0,0,0.98,26.5,0,0,1.96,37.3,1.96,0,0,0,0,0,0,0.98,0.98,14.72,0,0.98,0.98,0,0.98
 72-82,0,0,0,0,0.98,2.94,12.76,0,2.94,88.35,0,0,0,0,0.98,0.98,0.98,44.17,0,0,2.94,34.36,0,0,0,0,0,0,0,0.98,0,12.76,0,3.93,0.98,0,0.98
 84-94,0,0,0,0,1.06,5.31,16.99,1.06,5.31,49.92,0,0,0,2.12,1.06,0,4.25,31.86,0,2.12,10.62,15.93,0,0,1.06,0,0,1.06,0,1.06,1.06,3.19,1.06,2.12,0,1.06,5.31
 96-106,0,0,1.09,0,5.46,3.28,3.28,0,15.3,80.87,1.09,0,6.56,1.09,0,0,1.09,46.99,0,2.19,6.56,34.97,1.09,0,0,0,0,0,0,1.09,0,10.93,2.19,7.65,4.37,2.19,9.84
108-118,0,0,0,0,6.89,3.06,14.55,1.53,14.55,77.36,0.77,0,0,0.77,0.77,2.3,3.83,55.92,0.77,2.3,3.06,27.57,0.77,0.77,1.53,0,0.77,0,0,2.3,2.3,8.43,0.77,4.6,5.36,0.77,4.6
120,1.96,0,0,0,7.84,11.76,1.96,1.96,9.8,72.51,0,0,0,5.88,0,0,0,39.2,0,0,7.84,48.99,0,0,0,0,0,0,0,1.96,0,9.8,1.96,9.8,5.88,3.92,0
