stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,mesenchyme,neural,periderm,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.46,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,0,0,4.83,0.81,0.81,0.81,0
 48-58,0.57,0,0,0,0,0,0,2.3,1.72,0,0,0,0
 60-70,0,1.96,0,0.98,0.98,0,0.98,1.96,3.93,0,0.98,0,0.98
 72-82,0,0.98,0,0,0,0,0,5.89,0.98,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,0,1.06,1.06,0,0,0,0
 96-106,0,2.19,0,0,0,0,0,2.19,1.09,0,0,1.09,0
108-118,0.77,0,0.77,0,1.53,0.77,0,1.53,1.53,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0
