stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,15.77,2.63,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,6.29,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,34.62,25.18,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,46,4,0,4,0,0,0,2,1,0,1,0,0,0,0,12,0,16,23,22,1,3,0,1,9,1,1,6,26,0,3,0
 24-34,0,0,0.82,20.52,0,0,2.46,0,2.46,1.64,5.75,0,0,1.64,0,0,0.82,0.82,26.27,0,27.91,18.06,7.39,0,0,2.46,0,0,0.82,0,5.75,14.78,0,4.1,0
 36-46,0,0,0,5.64,0,0,1.61,0,1.61,3.22,8.86,0,0,0,0,0,0,0,42.7,0,14.5,17.72,10.47,3.22,0,0.81,0,0,0,0,0,6.45,0,1.61,0
 48-58,0,0,0,3.44,0,0,2.3,0,1.72,5.16,8.61,0,0,0,0,0.57,1.15,0,58.53,0,5.16,8.03,4.02,2.3,0,0.57,0,0,0,0,0,8.03,0,0,0
 60-70,0,0,0,5.89,0,0,1.96,0.98,3.93,10.8,12.76,0,0,0,0,0,0,0.98,107.97,1.96,4.91,3.93,0.98,0.98,0,0.98,0,0,0,0,0,1.96,0.98,1.96,0
 72-82,0,0,0,0,0,0,4.91,0,0,3.93,12.76,0,0,0,0,0,1.96,0,101.11,1.96,6.87,1.96,0.98,0.98,0,0.98,0,0,0.98,0,0,1.96,0,0.98,2.94
 84-94,0,0,0,7.43,0,0,13.81,0,2.12,1.06,9.56,2.12,0,1.06,0,0,3.19,1.06,97.71,3.19,4.25,6.37,5.31,2.12,0,1.06,0,0,0,0,0,5.31,1.06,1.06,3.19
 96-106,0,0,0,3.28,0,0,3.28,0,0,0,5.46,2.19,0,0,0,0,1.09,0,37.16,1.09,1.09,6.56,1.09,0,0,0,0,0,0,0,0,0,2.19,1.09,2.19
108-118,0,0,0,3.06,0,0.77,3.06,0,3.06,4.6,7.66,0,0,0,0.77,0,1.53,0,32.94,1.53,0.77,3.06,3.83,2.3,0,0.77,0,0,0,0,0,1.53,1.53,2.3,1.53
120,0,0,0,7.84,0,0,0,0,0,1.96,7.84,0,0,0,1.96,1.96,0,0,15.68,0,0,1.96,0,0,0,0,0,0,0,0,0,3.92,0,0,1.96
