stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,737.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,514.89,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,6.13,12.26,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,7.89,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,70.98,0,0,28.92,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,9.44,0,0,18.88,0,0,0,0,0,0
 14-21,0,0,0,0,0,153,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,31,0,0,0,4,0,0,1,7,0,64,0,0
 24-34,0,0,0,0.82,3.28,23.8,0,0.82,0,0,0,0,0,0,7.39,0,2.46,0,0.82,0,0.82,0,0,0,98.5,0,0.82,0,15.6,0,0,0,21.34,0,267.6,0,0
 36-46,0,0,0,0,0,4.83,0,1.61,0,0,0,7.25,1.61,0,4.83,0,0.81,0.81,0,0,1.61,0,0,0,143.41,0,0,0,13.7,0,0,0,26.59,0,202.22,0,0
 48-58,0,0,0,0,0,0,0,7.46,0,0.57,0,25.25,0,0.57,12.62,0,0,0,0.57,0,5.16,0,0,0,131.98,0,0.57,0,13.2,0,0,0,15.49,0,155.5,0,0.57
 60-70,0,0,0,0,1.96,0,0,5.89,0.98,0.98,0,16.69,0,0.98,12.76,0.98,2.94,0,0,0,4.91,0,0,0,146.25,0.98,0,0,19.63,0,0.98,0,15.7,0,148.21,0.98,0
 72-82,0,0,0.98,0.98,0.98,2.94,0,11.78,0,0,0.98,12.76,0.98,0.98,20.61,0,0.98,0.98,0,0,9.82,0.98,0,0,111.91,1.96,0,0,1.96,0,0,0,5.89,0.98,276.83,0.98,0.98
 84-94,0,0,0,0,3.19,0,0,16.99,0,0,0,8.5,1.06,1.06,13.81,0,2.12,0,0,0,2.12,1.06,2.12,1.06,62.66,0,1.06,0,6.37,0,0,0,4.25,0,264.45,0,0
 96-106,0,0,0,0,3.28,4.37,0,24.04,0,0,1.09,6.56,1.09,0,19.67,1.09,10.93,0,0,1.09,10.93,0,1.09,0,44.81,0,1.09,0,2.19,0,1.09,0,2.19,0,312.55,4.37,0
108-118,0,0,0,0,3.83,1.53,0,10.72,0,0,0,5.36,0,0,14.55,1.53,5.36,0,0.77,0,7.66,0,0.77,0,49.79,0.77,0,0,4.6,0,3.06,0,2.3,0,260.43,6.13,0
120,0,0,0,0,0,5.88,1.96,9.8,0,0,0,9.8,1.96,1.96,15.68,1.96,1.96,0,1.96,0,7.84,1.96,0,1.96,58.79,0,0,0,3.92,0,0,0,3.92,0,272.41,9.8,0
