stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,0,5.26,0,0,0,0,0,0,0,0,47.32,2.63,0,36.8,0,0,0,0,0,0,0
 10-12,6.29,6.29,0,0,6.29,0,0,0,3.15,0,0,0,0,62.94,6.29,0,53.5,0,0,0,0,0,0,0
 14-21,0,1,25,7,2,0,1,3,0,0,1,14,4,39,4,0,8,2,15,4,13,18,0,0
 24-34,0,0,3.28,0,0.82,0,0.82,1.64,0,0,0.82,3.28,2.46,20.52,0,0,0,0.82,0,0,0,4.93,0,0.82
 36-46,0,0,0,0,0.81,0.81,0,0,0,0,0,3.22,2.42,12.09,0,0,0,0.81,0,0,0,4.03,0,0
 48-58,0,0,0,0,4.59,0,2.3,0,0,0,0,5.16,1.15,14.35,0,0.57,0,0.57,0,0,0,5.74,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,0.98,0,0,0,3.93,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0,8.83,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,3.19,0,0,1.06,0,1.06,0,3.19,0,2.12,0,0,0,1.06,0,0,0,1.06,1.06,0
 96-106,0,0,0,0,0,0,0,0,0,2.19,0,2.19,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,1.53,0,0.77,0.77,0,0.77,0.77,0.77,0.77,3.06,0,0,0,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0
