stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,2.63,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,25,1,0,1,1,0,2,3,1,1,5,11,0,0,0
 24-34,0,0,0.82,0,1.64,0,2.46,0,0,1.64,0,0,0,0,0.82,0,0.82,0,4.1,0,0,0.82,34.48,0,0,0.82,0,0,1.64,0,0,0,1.64,6.57,1.64,0,0
 36-46,0,0,0,0,0.81,0,8.86,0,0,3.22,0,0,0,0,0,0,0,0,3.22,0,0,0.81,33.84,0,0,0,0,0,1.61,0,0,0,0,4.83,0,0,0
 48-58,0,0,0,0,0.57,0,10.33,0,0,0.57,0,0,0.57,0,0,0,0,0,2.87,0,0.57,0.57,26.4,0,0,0,0,0,1.15,0,0,0,0,2.3,1.15,0,0.57
 60-70,0,0,0,0,0.98,0,15.7,0,0,2.94,0,0,0,0,0,0,0,0,10.8,0,0,0.98,30.43,0,0.98,0,0,0,0.98,0,0.98,0,0,4.91,0,0,0
 72-82,0,0,0,0,0,0.98,16.69,0.98,0,3.93,0,0,0,0,1.96,0.98,0,0.98,12.76,0.98,0,0.98,25.52,0,1.96,0.98,0,0,2.94,0,0,0,0,0.98,0,0,0
 84-94,0,0,1.06,0,2.12,0,8.5,1.06,1.06,3.19,0,0,0,0,0,0,0,0,3.19,0,2.12,1.06,18.05,0,0,0,0,0,6.37,0,0,0,0,1.06,2.12,1.06,0
 96-106,0,0,0,1.09,1.09,1.09,10.93,0,0,1.09,1.09,0,0,1.09,1.09,0,1.09,2.19,8.74,0,0,0,13.11,1.09,2.19,0,0,0,5.46,0,1.09,0,0,3.28,2.19,0,0
108-118,0,0,0,0,2.3,0,7.66,0.77,0,1.53,0.77,0,0,0,0,0.77,0,0,3.83,0.77,0,0.77,22.98,0.77,0,0.77,0,0.77,1.53,0,0.77,0,0,0.77,0.77,0.77,0
120,0,0,0,0,9.8,1.96,5.88,0,0,0,1.96,0,0,0,0,1.96,0,3.92,3.92,0,0,1.96,13.72,0,0,0,0,0,5.88,0,1.96,0,0,0,3.92,0,0
