stage,epidermis,eye,fin_epithelia,glial,heart,immune,iridophores,mesenchyme,mural_cell,neural,olfactory,otic,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
 24-34,0.82,0,0,0,0,0,0,0,0,8.21,0.82,0,0,4.1,0
 36-46,0,0.81,0,0,0,0,0,0,0,46.73,0,0,0,12.89,0
 48-58,0,6.31,0,0.57,0,0,0,0.57,0,52.22,0,0.57,0,2.87,0
 60-70,0,16.69,0,0,0,0,0,0.98,0,76.56,0,0,0,5.89,0
 72-82,0,26.5,0,0.98,0.98,0,0,1.96,0,71.66,0,0,0.98,4.91,0
 84-94,1.06,11.68,0,2.12,0,0,0,0,1.06,35.05,0,0,0,2.12,1.06
 96-106,1.09,16.39,0,2.19,0,0,0,0,0,19.67,0,0,0,0,1.09
108-118,0.77,9.96,0,1.53,0,0.77,0.77,0.77,0,23.74,0,0,0,0,0
120,0,5.88,1.96,1.96,0,0,0,1.96,0,33.32,0,0,0,0,0
