stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0,1,2,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,4.1,0,0,0,0,0,0.82,0,0.82,0,0.82,0,5.75,0,0,0.82,36.12,0.82,4.93,0.82,0,1.64,0.82,9.85,0,0,1.64,0,0.82
 36-46,0,0,0,4.03,0,0,2.42,0,0,6.45,0,0,0,0,0,0.81,0,0,9.67,0,0,3.22,42.7,0,12.89,0,0,4.03,0,18.53,0,0,0,0,0
 48-58,0,0,0,4.59,0,0,5.74,0.57,1.15,5.74,0,0,0.57,0,0,0.57,0,0,14.92,0,0.57,3.44,19.51,0.57,2.3,0,0,3.44,0,14.92,0,0,1.15,0,0.57
 60-70,0,0,0,5.89,0,0,6.87,1.96,0,31.41,0,0,0,0,0,0,0,0,5.89,0.98,0,0,14.72,0,3.93,0,0,4.91,0,13.74,0,0,0,0,2.94
 72-82,0,0,0,7.85,0,0,15.71,0,3.93,132.52,0,0,0,1.96,0,0,0.98,0,12.76,0,0,3.93,12.76,0,15.71,1.96,0,0,0,12.76,0,0,0.98,0.98,0.98
 84-94,0,0,0,12.74,0,0,15.93,2.12,0,87.09,2.12,0,0,0,0,0,0,0,9.56,0,0,3.19,8.5,0,5.31,0,0,0,0,3.19,1.06,0,1.06,0,0
 96-106,0,0,0,7.65,1.09,1.09,14.21,0,1.09,145.35,0,0,1.09,1.09,0,0,2.19,1.09,18.58,1.09,0,1.09,22.95,1.09,8.74,1.09,0,0,0,9.84,0,0,0,0,0
108-118,0,0,0,3.06,0,0,8.43,0,1.53,147.06,0.77,0,0,0.77,0,0,0.77,0,14.55,0,0.77,0,13.79,0,5.36,0.77,0,0.77,0,6.13,0,0.77,0,0,0.77
120,0,0,0,7.84,0,0,25.48,0,0,241.05,1.96,0,0,1.96,0,0,0,0,9.8,0,0,1.96,23.52,0,1.96,0,0,1.96,0,15.68,0,0,0,0,0
