stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,0,3,0,0,2,0,0,0,0,0,0,5,0,0,53,0,0,1,1,1,1,3,17,0,0,0
 24-34,0,0.82,0,0.82,0,4.93,0,0,2.46,0,0,0,0,0.82,0,6.57,0,1.64,90.29,0,0,0,2.46,0,0,1.64,13.13,0,0.82,0
 36-46,0,0,0.81,0,0,22.56,0,0,4.83,0,0,0,0.81,0,0,5.64,0,3.22,139.38,1.61,0,0,0.81,0,0,0,33.84,0,0.81,0
 48-58,0,0,0,0,0,39.02,0.57,0,8.03,0,0,0,0,0.57,0,14.35,0.57,1.72,100.42,0.57,0,0,1.15,0,0,0,16.64,0,1.15,0
 60-70,0,0,0,0.98,0,45.15,0,0.98,8.83,0,0,0,0,0,0,10.8,0.98,0.98,138.39,0,0,0,0,0,0,0,25.52,0,0,0
 72-82,0,0,0,1.96,0.98,27.49,0,0,6.87,0.98,1.96,0,0,0,0,17.67,3.93,1.96,74.61,1.96,1.96,0,1.96,0,0,0,5.89,0,0.98,1.96
 84-94,0,0,0,0,0,26.55,0,0,3.19,0,1.06,0,0,0,0,18.05,0,0,46.73,1.06,1.06,0,3.19,0,0,0,2.12,1.06,0,1.06
 96-106,0,0,0,0,1.09,18.58,0,0,4.37,0,1.09,1.09,0,2.19,0,13.11,1.09,1.09,42.62,4.37,2.19,0,5.46,0,0,0,2.19,1.09,4.37,1.09
108-118,0,1.53,0,2.3,0,14.55,0,0,5.36,0,0,0.77,0,0,1.53,16.85,0,0.77,61.28,0,0.77,0,2.3,0,0,0,0.77,0,0.77,0.77
120,0,0,0,1.96,0,11.76,0,0,1.96,1.96,1.96,1.96,0,0,0,5.88,1.96,0,41.16,0,0,0,0,0,0,0,0,0,0,0
