stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,39.53,737.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0
  5-6,245.19,4260.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,6.13,147.11,0,0,0,0,0,0,0
  7-9,34.17,34.17,0,63.09,0,0,99.89,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,1056.74,31.54,0,0,360.13,31.54,7.89,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,9.44,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,122.73,3.15,0,0,31.47,3.15,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,19,0,0,0,2,0,0,0
 24-34,0,0,0,0,9.03,0,0.82,0.82,0,0,0,0,0,21.34,0,1.64,0,1.64,0.82,4.93,0,0,27.91,0,5.75,0,0,286.48,0,0,0.82,2.46,0,0.82,0
 36-46,0,0,0,0,16.92,0,4.03,3.22,0,0.81,0.81,0.81,0,19.34,0,1.61,0.81,0,4.83,12.89,0,0.81,68.48,0,9.67,0,0,497.1,0,0,0.81,5.64,0,0.81,0
 48-58,0,0,0,0,18.36,0,8.03,15.49,0,2.87,0,10.9,0,3.44,0,0.57,0,1.15,5.16,6.89,0,1.15,50.49,0.57,8.03,0.57,0,493.47,0,0,0,8.03,0,0,0.57
 60-70,0,0,0.98,0,18.65,0,6.87,5.89,0,0,2.94,4.91,0.98,1.96,0,1.96,0,0,3.93,5.89,0,0.98,17.67,0,3.93,0,0,212.99,0,0,0,2.94,2.94,0,0
 72-82,0,0,1.96,0,28.47,1.96,12.76,14.72,0.98,0,5.89,7.85,0,21.6,0,1.96,0.98,0,2.94,11.78,0,0.98,39.27,0,16.69,0.98,0,426.04,0,0,0,0,3.93,2.94,0
 84-94,0,0,0,0,16.99,0,2.12,2.12,0,0,1.06,3.19,0,6.37,0,0,0,0,0,2.12,1.06,0,11.68,0,1.06,0,0,120.01,0,0,0,0,3.19,0,1.06
 96-106,0,0,0,0,118.03,2.19,9.84,38.25,0,1.09,51.36,1.09,0,67.76,0,21.86,2.19,0,2.19,22.95,0,1.09,30.6,0,32.79,0,0,1204.32,0,0,0,0,40.44,1.09,2.19
108-118,0,0,1.53,0,70.47,0.77,3.06,24.51,0,0.77,28.34,0,3.83,42.13,0,3.83,0,0,2.3,15.32,0,0,12.26,0,11.49,3.06,0,332.43,0,0,0,0,13.02,0,0
120,0,0,0,0,133.27,0,7.84,41.16,0,0,52.91,0,1.96,15.68,1.96,7.84,0,0,5.88,7.84,0,0,31.36,0,17.64,0,0,560.5,0,0,0,0,23.52,0,0
