stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0.82,0,0.82,0.82,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0.81,12.89,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0.57,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,2.94,0,0,0,0,0,3.93,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,1.96,0,0.98,0,0,0.98,1.96,0,7.85,0,0.98,0,0,0,0.98,0,1.96,0,0
 84-94,0,0,0,0,2.12,0,0,0,0,0,0,0,3.19,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,1.09,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,1.53,0,3.06,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,1.96,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
