stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,lateral.line,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0.82,7.39,0,0.82,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,7.25,0,0.81,2.42,0,0
 48-58,0,0,0,4.02,0,1.15,0,0.57,0,0.57,2.87,0,0,0.57,0,0
 60-70,0,0,0,3.93,0,0,0,0,0,0,3.93,0,0,0,0.98,0
 72-82,0,0,0,0.98,0.98,0,0,0.98,0,0,1.96,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,0,0,1.06,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,1.96,0,0,0,0,0,1.96,1.96,0,1.96,0,1.96,0,0,0
