stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,pronephros,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0.82,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,1.72,0,0,0,0,0,0,0,2.3,1.15,0,1.15,0,0,0,0,1.15,0,0,0.57
 60-70,0,0,0,0,0,0.98,0.98,0,0,0.98,0,0,0,6.87,1.96,0,1.96,0,0,0.98,0,0,4.91,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,0,0.98,8.83,2.94,0,3.93,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,7.43,4.25,0,0,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,1.09,1.09,2.19,0,1.09,0,2.19,0,2.19,0,12.02,2.19,0,3.28,0,0,0,2.19,0,6.56,4.37,0
108-118,0,0,0.77,0,0.77,0,0.77,0,0,6.13,1.53,0,0,6.89,0.77,0.77,0,0,0,0.77,1.53,0.77,3.83,1.53,0
120,0,0,0,0,0,1.96,0,0,0,5.88,0,0,0,13.72,0,0,1.96,0,0,0,0,0,3.92,5.88,0
