stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.32,0,15.73,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.9,6.29,0,0,163.64,0,0,0,0,44.06,0,6.29,0,0,0,0,0
 14-21,0,1,0,1,19,104,0,25,0,0,0,2,8,0,6,1,0,0,0,0,10,146,0,0,456,144,2,0,1,15,0,3,1,104,4,2,779,198,0,45,0,2
 24-34,0,0,0,0,4.1,8.21,0,10.67,0,0,4.1,0.82,0,0,22.16,0.82,0.82,0.82,0,0.82,12.31,248.72,0,0,307,98.5,2.46,0,2.46,0,0,2.46,0,0.82,0.82,0.82,54.18,52.53,0,120.67,0,4.1
 36-46,0,0,0,0,4.83,0.81,0,1.61,4.03,0.81,4.03,8.06,0.81,0,18.53,0,0,0.81,0,0,1.61,348.85,0,4.03,180.47,87.01,0,0,2.42,0,0.81,2.42,0,0,0,2.42,0,31.42,0.81,53.98,0.81,1.61
 48-58,0.57,0,0,0,1.72,1.15,0,17.21,5.16,0.57,8.03,15.49,0.57,0.57,20.08,0,0,0,0,0.57,4.02,416.01,0,7.46,144.03,75.17,0,0.57,0,0,3.44,0,0,0,0,4.02,0,24.1,1.15,48.77,1.15,1.72
 60-70,0,0,0,0,4.91,0.98,0,24.54,6.87,0.98,7.85,10.8,0,0,16.69,0,0,0,0,0.98,0.98,539.84,0,22.58,111.89,50.06,0,0,0,0,7.85,1.96,0,0,0,7.85,0,13.74,22.58,63.8,9.82,0
 72-82,0,0,0,0,8.83,0.98,0.98,57.92,8.83,0.98,2.94,20.61,0.98,0,22.58,0,0,0.98,0,0.98,5.89,736.25,1.96,35.34,119.76,63.81,0,0.98,3.93,0,4.91,4.91,0,0,0.98,6.87,0,7.85,31.41,129.58,47.12,0
 84-94,0,0,1.06,0,9.56,0,0,55.23,8.5,1.06,8.5,10.62,1.06,0,12.74,4.25,2.12,1.06,0,3.19,11.68,512.96,0,35.05,90.27,41.42,0,0,5.31,0,4.25,3.19,0,0,0,4.25,0,5.31,27.61,105.14,37.17,1.06
 96-106,0,0,1.09,0,8.74,3.28,0,34.97,15.3,2.19,7.65,12.02,2.19,0,20.76,4.37,0,1.09,3.28,1.09,3.28,444.79,0,28.41,81.96,62.29,0,0,3.28,0,16.39,4.37,0,0,1.09,8.74,0,2.19,29.51,110.38,62.29,2.19
108-118,0,0,0,0,8.43,0.77,0,22.21,5.36,3.06,3.83,8.43,1.53,0,12.26,2.3,0,0.77,0,4.6,7.66,348.51,0,25.28,52.09,49.79,0.77,0,5.36,0,9.96,2.3,0,0,0.77,4.6,0,3.06,22.21,91.92,35.23,0.77
120,0,0,0,0,11.76,1.96,0,5.88,5.88,1.96,0,5.88,3.92,0,13.72,1.96,0,0,0,1.96,3.92,256.73,1.96,25.48,50.95,33.32,0,0,3.92,0,7.84,1.96,0,0,0,1.96,0,1.96,35.28,74.47,47.03,0
