stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,281.96,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,7.89,0,0,0,21.03,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,139.32,7.89,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,0,0,44.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.14,12.59,0,0,116.44,0,0,0,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,10,2,0,8,0,0,0,4,1,0,0,0,0,0,0,1,0,7,0,2,86,3,0,4,1,0,1,0,10,0,0,12,27,0,0,1,0,0
 24-34,0,0,0,1.64,5.75,0.82,0,21.34,0,0,0.82,3.28,0,0,0,0,0,0,0,0,0,18.88,0,9.85,150.22,0.82,2.46,3.28,0,0,5.75,0,0.82,1.64,0,4.1,25.45,0,0,5.75,0,0
 36-46,0,0,0,0,4.03,0,0,24.98,0,0,1.61,8.06,0,0,0,0,0,0.81,0,0,0,18.53,0,4.03,93.46,0,0.81,1.61,0,0,4.03,0,0,0,0.81,0,22.56,0,0,0.81,0,1.61
 48-58,0,0,0,0,0,0,0,40.74,0,0,1.15,12.62,1.15,0,0.57,0,0,0,0.57,0.57,0.57,21.8,0,3.44,74.59,0.57,1.15,0,0,0.57,0.57,0,0,0,0,0,19.51,0,0,1.72,0,1.15
 60-70,0,0,0,0,3.93,0,0,39.26,1.96,0,0,20.61,0,0,0.98,0.98,0,0,0,0,0,29.45,0,6.87,64.78,0,0,0,0,0,1.96,0,0,0.98,0,0,8.83,0,0.98,1.96,0,2.94
 72-82,0,0,0.98,0,1.96,0,0,40.25,0,0.98,2.94,43.19,0,0,1.96,1.96,0,0.98,2.94,0,0.98,41.23,0.98,5.89,47.12,0,0.98,0.98,0,0.98,3.93,0,0,0,1.96,0,6.87,0.98,0.98,5.89,0.98,0.98
 84-94,0,0,0,0,7.43,1.06,0,29.74,0,1.06,1.06,21.24,2.12,0,0,2.12,2.12,0,2.12,0,0,23.36,0,7.43,30.8,0,1.06,4.25,0,0,13.81,0,0,0,0,0,3.19,2.12,3.19,3.19,2.12,0
 96-106,0,0,0,0,7.65,0,1.09,24.04,0,0,2.19,24.04,4.37,0,2.19,5.46,2.19,0,2.19,0,1.09,36.06,1.09,4.37,28.41,1.09,2.19,2.19,0,0,8.74,0,0,3.28,0,0,2.19,0,1.09,3.28,0,0
108-118,0,0,0,0,4.6,1.53,0,18.38,1.53,1.53,0.77,22.21,1.53,0,0,1.53,0.77,0,0.77,1.53,0,22.98,1.53,4.6,39.06,0,4.6,2.3,0,0.77,6.89,0.77,0,0.77,1.53,0,1.53,0,0,0.77,3.06,1.53
120,0,0,0,0,7.84,1.96,0,17.64,0,3.92,0,17.64,0,0,1.96,0,3.92,1.96,0,1.96,0,21.56,0,7.84,21.56,0,3.92,3.92,0,0,9.8,0,0,1.96,0,0,1.96,0,0,0,0,1.96
