stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,33,0,0,0,0,1,0,0,0,0,1,0,0,1,12,1,0,0,1,0,1,1,0,3,2,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,184.69,0,0,0,0,0,0,0.82,0,0,2.46,0,0,0,18.88,0,0.82,0.82,0,0,0,0,0,0.82,8.21,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,148.24,0,0,1.61,0,0,0,4.03,0,0,4.03,0,0.81,0.81,16.11,0.81,0,0.81,0,0,2.42,0,0,0.81,15.31,0,0,0,0,0.81
 48-58,0,0,0,1.15,0,0,114.76,0,0,1.72,0,0.57,0,2.87,0,0,3.44,0.57,0,0.57,12.62,1.15,0,0.57,0,0,1.15,0,0,0,6.31,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,0,104.04,0,0.98,29.45,0,0,0,5.89,0,0,8.83,0,0,0.98,8.83,1.96,0,1.96,0,0,1.96,0,0,0,1.96,0,0.98,0.98,0,0
 72-82,0,0,0,0.98,0,0,95.22,0.98,0,57.92,0.98,0,0,18.65,0,1.96,40.25,0,0.98,0,7.85,0,0,0.98,0,0,0.98,0,0,0,0,0.98,0.98,0,0.98,0
 84-94,0,0,1.06,1.06,0,0,132.75,0,0,44.61,3.19,0,1.06,14.87,0,0,46.73,0,0,0,8.5,0,0,1.06,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,1.09,0,3.28,1.09,0,89.61,0,0,61.2,1.09,0,0,18.58,0,0,109.28,0,0,0,13.11,0,0,2.19,0,1.09,0,0,1.09,0,0,0,0,1.09,0,0
108-118,0,0,0,2.3,0.77,1.53,80.43,0,0,43.66,1.53,0,2.3,16.85,0,1.53,117.96,0,0,0,9.96,0,0.77,0,0,0,0,0,0.77,0,0,0,0,0,0,0.77
120,0,0,0,7.84,0,1.96,84.27,0,0,29.4,3.92,0,0,3.92,3.92,0,64.67,1.96,0,0,7.84,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0
