stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,lateral_line,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,9.44,0,0,0,0,0,0
 14-21,0,0,8,0,0,0,0,0,0,0,0,0,0,2,3,15,0,1,0,1,1,1,2,0
 24-34,0,0,1.64,0,0,0,0,0,0.82,0,1.64,0,0,2.46,1.64,24.63,0,0,0.82,0,0,0,5.75,0.82
 36-46,0,0,0.81,0,2.42,0,0,2.42,0,0,0,0.81,0,3.22,0,9.67,0,0,0,0,0,0,2.42,0.81
 48-58,0,0,1.15,0,4.02,0.57,0.57,0,0,0,0.57,0,0,3.44,0,9.75,0,0,0.57,0,0,0,1.72,0
 60-70,0,0,0.98,0,1.96,0,0,1.96,0,0,0.98,0,0,1.96,0,2.94,0,0,0,0,0,0,0.98,0
 72-82,0,0.98,1.96,0,2.94,0,0,0.98,0,0,2.94,0,0.98,4.91,1.96,7.85,0.98,0,1.96,0,0,0,2.94,0
 84-94,0,0,0,0,1.06,0,0,1.06,0,0,3.19,0,0,1.06,0,3.19,0,0,1.06,0,0,0,1.06,3.19
 96-106,0,1.09,1.09,0,2.19,0,0,0,1.09,0,1.09,1.09,0,1.09,0,3.28,0,0,0,0,0,0,1.09,1.09
108-118,0,0,1.53,0,0,0,0,0,0,0.77,2.3,0,0,0.77,0,3.06,0.77,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,3.92,0,3.92,0,0,0,0,0,0,0,0
