stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,21.03,0,0,0,28.92,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,233.96,7.89,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,15.73,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.37,6.29,0,0,88.12,0,0,3.15,28.32,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,31,9,0,21,0,0,3,0,0,1,0,0,0,0,0,0,21,0,0,18,168,4,2,3,4,0,3,41,1,2,70,58,0,0,2,0,0
 24-34,0,0,0.82,0,9.03,2.46,0,32.83,0.82,0,5.75,1.64,0,2.46,1.64,0.82,0,2.46,0,0.82,34.48,0,0,9.85,148.57,0,0.82,2.46,0,0,3.28,0,0.82,0,5.75,43.51,0,0,4.93,0,0
 36-46,0,0,0,0,3.22,0,0,34.64,0,0,1.61,1.61,0,0.81,0,0.81,1.61,0.81,0,0,18.53,0,0,8.06,111.18,0.81,0.81,0,0,0,2.42,0,0,0,0,25.78,0,0,1.61,0,0.81
 48-58,0,0,0,0,4.59,0,0,38.44,0,0,10.33,0.57,0,0.57,0,0,0.57,1.15,0.57,0,20.08,0,0.57,6.89,103.86,0,0.57,2.3,0,0,0,0,0.57,1.15,0,16.07,0,0,2.3,0,0
 60-70,0,0,0,0,4.91,0,0,49.08,1.96,0,9.82,0.98,0,0,0.98,0,0.98,0.98,0,0,18.65,0,0,2.94,79.5,0.98,1.96,1.96,0,0,1.96,0,0.98,0,0,6.87,0,0.98,0,0,0
 72-82,0,0,0,0,6.87,0.98,0,38.28,0,1.96,17.67,1.96,0,0,3.93,0.98,0,1.96,0.98,0,43.19,0.98,1.96,8.83,81.48,0.98,0.98,0,0,0,5.89,0,0.98,0,0,6.87,0,0,1.96,0,0
 84-94,0,0,1.06,0,9.56,1.06,0,49.92,1.06,5.31,25.49,5.31,1.06,1.06,3.19,2.12,0,1.06,4.25,0,33.99,1.06,1.06,3.19,55.23,2.12,0,3.19,0,0,21.24,0,0,0,0,6.37,0,1.06,6.37,2.12,0
 96-106,0,0,2.19,0,7.65,0,0,25.14,3.28,1.09,18.58,6.56,0,0,6.56,3.28,0,2.19,0,0,53.55,1.09,1.09,14.21,67.76,1.09,0,6.56,0,0,15.3,0,0,0,0,5.46,0,1.09,4.37,1.09,2.19
108-118,0,0,0,0,15.32,3.83,1.53,24.51,4.6,3.06,19.15,2.3,0,1.53,2.3,2.3,0.77,0.77,1.53,2.3,37.53,0,1.53,7.66,73.53,0.77,3.06,2.3,0,0.77,16.09,0,1.53,0.77,0,3.83,0.77,0,3.83,2.3,1.53
120,0,0,1.96,0,27.44,7.84,0,21.56,7.84,1.96,15.68,3.92,0,1.96,3.92,1.96,0,1.96,5.88,0,21.56,0,3.92,7.84,50.95,1.96,0,0,0,0,13.72,0,0,0,0,1.96,0,1.96,13.72,1.96,0
