stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,6.29,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,34,6,0,2,0,0,0,2,1,3,0,3,0,0,0,2,6,1,0,2,22,2,0,2,1,0,16,13,1,0,9,8,0,0,6,0,0
 24-34,0,0,0,0.82,15.6,2.46,0,1.64,2.46,0,2.46,0,0.82,1.64,0,1.64,0,0,0,4.1,13.95,3.28,0,4.1,22.98,4.1,1.64,1.64,0,0.82,39.4,0,3.28,0,3.28,11.49,0,0,17.24,0,0
 36-46,0,0,0,0,8.06,0,0,0.81,0,0,0.81,0.81,0,1.61,0.81,0.81,0,1.61,0,4.83,14.5,1.61,0,4.83,16.92,2.42,1.61,1.61,0,0,39.48,0,0,0,0,4.83,0,0,13.7,0,0
 48-58,0,0,0,0,4.59,0.57,0,1.72,1.15,1.15,2.87,0.57,0,0,1.72,0.57,0,1.15,0,1.15,18.36,0.57,0.57,4.02,5.74,0.57,0,0.57,0,0,24.67,0,0,0,0,3.44,0,0.57,6.31,0,0.57
 60-70,0,0,0,0,4.91,1.96,0,3.93,2.94,0.98,5.89,0,0.98,0.98,0,0.98,0,2.94,0,1.96,32.39,0.98,0,0.98,9.82,0,0.98,0,0,0.98,30.43,0,0,0.98,0,0.98,0,0,6.87,0,1.96
 72-82,0,0,0.98,0,7.85,2.94,0,19.63,1.96,4.91,3.93,2.94,0,0.98,0,3.93,0,5.89,0,0,37.3,1.96,0,2.94,12.76,0,0,1.96,0,0.98,35.34,0,0.98,0,0,0.98,0.98,0,21.6,2.94,0
 84-94,0,0,0,0,15.93,3.19,0,6.37,4.25,2.12,3.19,7.43,1.06,2.12,11.68,2.12,3.19,2.12,1.06,1.06,25.49,1.06,1.06,0,10.62,1.06,1.06,1.06,0,0,72.22,0,0,0,0,0,3.19,0,11.68,0,1.06
 96-106,0,0,1.09,0,8.74,2.19,1.09,6.56,1.09,3.28,2.19,7.65,0,0,4.37,0,0,4.37,3.28,1.09,20.76,1.09,1.09,0,13.11,1.09,0,1.09,0,0,55.74,0,0,0,0,0,2.19,2.19,16.39,3.28,1.09
108-118,0,0,0,0,15.32,0.77,3.06,3.06,1.53,0,3.06,4.6,0,0,6.13,0.77,0,2.3,2.3,0,13.79,0,0,0.77,16.09,0,0.77,0.77,0,0.77,39.06,0,0.77,0,0,1.53,3.06,0.77,11.49,0,1.53
120,0,0,0,0,19.6,1.96,0,11.76,0,0,1.96,0,0,0,15.68,1.96,0,1.96,0,0,3.92,1.96,0,0,11.76,0,0,1.96,0,0,29.4,0,7.84,0,0,1.96,1.96,1.96,11.76,3.92,0
