stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,52.71,1699.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,1440.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43,12.26,0,0,36.78,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,44.69,44.69,65.72,0,0,0,147.21,0,0,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,1106.69,21.03,0,0,580.95,13.14,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,47.2,75.53,0,9.44,0,144.76,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,1233.61,3.15,0,0,475.19,3.15,3.15,3.15,53.5,0,3.15,3.15,0,0,0,0
 14-21,0,1,10,132,29,0,60,0,0,0,15,4,1,0,3,2,0,0,0,0,67,0,0,77,726,37,9,13,34,30,0,103,12,1,97,275,0,0,6,0
 24-34,0,0,3.28,42.68,10.67,0,196.18,0,0,0,26.27,0,0,1.64,9.03,0,3.28,2.46,3.28,1.64,160.07,0.82,0.82,77.16,1411.87,16.42,18.06,15.6,0,68.95,0,0,4.93,0,9.03,367.74,0,0,24.63,4.93
 36-46,0,0,0,11.28,4.83,0,310.99,0,0.81,1.61,30.62,0.81,0,2.42,8.86,0,1.61,0.81,0,0,111.99,0,3.22,40.28,755.72,5.64,6.45,3.22,0,28.2,0,0,0.81,0,0,207.06,0,0,4.83,2.42
 48-58,0,0,0,16.07,4.02,0,459.04,0,0,0.57,25.25,2.87,0,1.72,6.31,1.15,3.44,0,0,0,144.6,0.57,8.03,25.82,448.14,5.74,2.3,4.02,0,8.03,0,0.57,0.57,0,0,83.78,0,0,8.61,3.44
 60-70,0,0,0,20.61,0,0,362.18,0,0,0,33.37,5.89,0,0,8.83,0.98,1.96,0.98,0,0,105.02,0,8.83,15.7,243.42,5.89,0.98,3.93,0,5.89,0,0,2.94,0,0,11.78,0.98,0,4.91,0
 72-82,0,0,0,16.69,0.98,0,138.41,0,0,0,40.25,10.8,0,1.96,8.83,0.98,3.93,0.98,0.98,0,113.87,0,5.89,15.71,165.9,2.94,0.98,2.94,0,3.93,0,0,0.98,0,0,6.87,0,0.98,11.78,0
 84-94,0,0,0,25.49,3.19,0,104.08,0,1.06,0,23.36,15.93,0,1.06,12.74,0,4.25,2.12,6.37,0,77.53,0,5.31,18.05,126.38,3.19,0,6.37,0,6.37,0,0,3.19,0,0,2.12,3.19,0,14.87,0
 96-106,0,0,0,22.95,0,2.19,88.52,0,0,1.09,31.69,20.76,0,4.37,21.86,0,2.19,1.09,7.65,0,43.71,0,1.09,13.11,124.58,3.28,2.19,7.65,0,8.74,0,0,1.09,0,0,1.09,1.09,0,15.3,0
108-118,0,0,0,15.32,2.3,0,79.66,0.77,0,0,26.04,10.72,0,0,13.79,1.53,2.3,1.53,6.13,0.77,39.83,0,3.83,12.26,155.49,1.53,2.3,3.83,0,4.6,0,0,2.3,0,0,3.06,0.77,0,10.72,0.77
120,0,0,1.96,3.92,13.72,1.96,86.23,0,0,0,27.44,3.92,0,1.96,11.76,0,0,0,7.84,0,41.16,0,1.96,5.88,97.99,0,0,1.96,0,0,0,0,0,0,0,3.92,0,0,3.92,0
