stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,79.07,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,0,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,16,0,2,0,0,0,0,0,23,4,19,0,0,0,0
 24-34,0,0,0.82,0,0,0,1.64,0,0.82,0,0,0,0,0,3.28,0,2.46,27.91,0,20.52,0,0,0,0,0,1.64,0,35.3,0,0,1.64,0
 36-46,0,0,0,0.81,0,0,4.83,0,1.61,0,0.81,0,0,0.81,0.81,0.81,1.61,74.93,0.81,33.84,0.81,0,0,0,0,0.81,0,44.31,0,0,1.61,0
 48-58,0,0,0,0,0,0,10.33,0,1.15,0,0,0,0,0,5.74,0,1.15,67.14,0,25.25,0,0,0,0,0,0.57,0,39.02,0,0,1.72,0
 60-70,0,0,0,0.98,0.98,0,18.65,0,1.96,0,0.98,0.98,0.98,0,4.91,0,0,118.76,0,36.32,0,0,0,0,0,0.98,0,39.26,0.98,0,0.98,0
 72-82,0,0,0,2.94,0,0,30.43,0,4.91,0.98,0.98,0,0,0,12.76,0,0,127.62,0,54.97,0.98,0,0,0,0.98,0.98,0,23.56,2.94,0,3.93,0
 84-94,0,0,1.06,0,0,0,23.36,0,3.19,0,1.06,1.06,0,0,9.56,0,1.06,57.35,0,45.67,1.06,0,0,0,0,0,0,9.56,8.5,0,6.37,1.06
 96-106,0,0,0,1.09,0,0,36.06,1.09,4.37,1.09,0,0,0,0,7.65,0,2.19,61.2,0,74.31,1.09,0,0,0,0,0,0,7.65,18.58,1.09,2.19,0
108-118,0,0,0.77,1.53,0,0.77,26.81,0.77,7.66,0.77,1.53,0,0,0,9.96,0,0,50.55,0,39.06,3.06,0,0,0,0,0,0,1.53,25.28,0.77,1.53,0
120,0,0,0,0,0,0,17.64,1.96,3.92,1.96,0,0,0,0,0,0,1.96,52.91,0,27.44,1.96,0,0,0,0,0,0,5.88,17.64,0,1.96,0
