stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,4,10,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0,0,18.88,0,0.82,1.64,0,0,4.1,0,0,0,0.82,4.93,0,0,0,0,0.82
 36-46,0,0,0,0,2.42,0,0,0,0.81,0,0,0,0,0.81,0,0,0,3.22,0,0,0,17.72,0,0,0,0,0,4.03,0,0,0.81,0,4.83,0,0,1.61,0,0
 48-58,0,0,0,0,2.87,0,0.57,0,3.44,0,0,0.57,0.57,0,0.57,0,1.15,1.72,0,0,1.72,25.25,0,1.15,0,0,0,5.16,0,0,0.57,0,2.87,0,0,1.15,0,1.15
 60-70,0,0,0,0,2.94,0,0,0,3.93,0,0,0,0,0.98,0,0,0,6.87,0,0,0,39.26,0,0.98,0,0,0,0.98,0,0,0,0,2.94,0,0,0.98,0,0
 72-82,0,0,0,0,3.93,0,0.98,0,7.85,0,0,0,0.98,0,0,0.98,0,12.76,0,0.98,0.98,38.28,0,0,0,0,0,2.94,0,0,0,0,0.98,0,0.98,1.96,0,0.98
 84-94,0,0,2.12,1.06,8.5,0,0,0,3.19,0,0,0,0,0,1.06,0,0,8.5,1.06,2.12,0,31.86,0,0,0,0,1.06,5.31,0,0,0,0,0,0,1.06,1.06,0,1.06
 96-106,1.09,0,2.19,0,6.56,1.09,0,0,9.84,0,0,0,1.09,0,0,0,0,6.56,0,0,1.09,28.41,0,0,0,0,0,10.93,0,0,0,0,2.19,1.09,0,2.19,0,0
108-118,0,0,3.06,0,3.83,0,0.77,0.77,3.83,0,0,0.77,2.3,0,0,0,0.77,1.53,0,0,0.77,32.17,0,0,2.3,0,0,3.06,0,0.77,0,0,2.3,0.77,0,0,0,0
120,0,0,3.92,1.96,11.76,0,0,0,11.76,0,0,0,1.96,0,0,0,0,1.96,0,0,0,54.87,1.96,0,0,0,0,3.92,0,0,0,0,0,0,0,0,1.96,0
