stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord,xanthophores
  3-4,13.18,698.43,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,24.52,331,0,0,0,0,0,0,0,0,0,0,6.13,0,0,18.39,0,0,0
  7-9,5.26,2.63,2.63,0,0,0,28.92,0,0,0,0,0,23.66,0,10.51,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,12.59,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0.82,0.82,0.82,0,2.46,0.82,0,0,0.82,0.82,3.28
 36-46,0,0,0,0,0,0,0,0.81,0,0,2.42,0.81,0.81,0,0,0,0,0,1.61
 48-58,0,0,0,0,0,0,0,0,0,1.72,0.57,0.57,0,0,0,0,0,0,2.3
 60-70,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,3.93
 72-82,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,0,1.96
 84-94,0,0,0,0,1.06,0,0,0,0,2.12,1.06,1.06,1.06,0,0,0,0,0,3.19
 96-106,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
