stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pgc,pronephros,spinal.cord
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,1,0,0,3,4,3,0,0,1
 24-34,0,0,0,0,0,0,0.82,2.46,0,0,0.82,19.7,10.67,17.24,0,0,0.82
 36-46,0.81,0.81,0,0,0,0,0,1.61,0,0,0.81,16.92,0,8.86,0,0,1.61
 48-58,0,0,1.15,0.57,0,0,0,1.72,0,0.57,0.57,8.03,1.15,10.33,0,0,2.3
 60-70,0,0,0,0,0,0,0,4.91,1.96,0,0,4.91,0,14.72,0,0,0
 72-82,0,0,2.94,0,0,0,0,9.82,1.96,0,0,4.91,0.98,32.39,0,0,0.98
 84-94,0,0,1.06,0,1.06,0,0,15.93,0,0,2.12,4.25,0,45.67,0,0,0
 96-106,0,0,1.09,0,0,0,0,17.49,1.09,0,0,1.09,0,54.64,0,0,1.09
108-118,0,0,1.53,0,0,0,0,11.49,0,0,0,0.77,0.77,36.77,0,0.77,0
120,0,0,1.96,0,0,1.96,0,3.92,0,0,0,1.96,1.96,31.36,0,0,0
