stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,28.73,0,0,0,3.28,0,0,0,0.82,0.82,0
 36-46,0,1.61,0,1.61,0,0.81,0,0.81,45.92,0,0,0,7.25,0,0,0,0,1.61,0.81
 48-58,0,2.3,0,3.44,0,0,0,0,17.79,0,0.57,0,4.59,0,0.57,0,0,2.3,0.57
 60-70,0,2.94,0,6.87,0.98,0,0,0,35.33,0,0.98,0.98,0.98,0.98,0,0,2.94,0,0
 72-82,0,5.89,0,2.94,4.91,0,0.98,0,14.72,0,0,0,6.87,0,0,0,0,1.96,0
 84-94,0,10.62,0,2.12,1.06,0,2.12,0,42.48,0,0,0,1.06,0,0,0,3.19,0,0
 96-106,0,7.65,0,3.28,0,0,3.28,0,43.71,2.19,3.28,0,2.19,0,0,0,2.19,0,0
108-118,0,9.19,0.77,0,2.3,0,4.6,0,32.94,0,0.77,0,3.83,0,0,0,2.3,0,0
120,0,1.96,0,0,0,1.96,1.96,0,47.03,0,0,0,1.96,0,0,0,1.96,0,0
