stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,41,4,0,9,0,0,0,1,0,1,0,0,0,0,0,0,16,0,0,19,79,1,1,2,2,0,4,1,13,0,17,113,19,0,0,0,0,0
 24-34,0,0,0,4.93,7.39,0,4.1,3.28,0,0,2.46,0,1.64,0,1.64,0.82,0,0,0,4.93,0,0.82,2.46,18.88,4.93,0.82,0,0,0,2.46,0,0,0.82,3.28,9.03,3.28,0,0,1.64,0,0
 36-46,0,0,0,4.03,25.78,0,7.25,8.06,0,0.81,1.61,0,2.42,0,0,1.61,0,0,0,14.5,0.81,0,1.61,18.53,4.03,1.61,0.81,0,0,4.03,0,0,2.42,1.61,0,3.22,0,0,0,0,0
 48-58,0,0,0,1.15,6.31,0,17.79,7.46,0.57,0,0.57,0,1.72,0.57,0.57,0,0.57,0.57,0,13.2,0,0.57,5.16,12.62,1.15,1.15,0,0,0,0.57,0,0,0,1.15,0,3.44,0,0,0.57,0,0.57
 60-70,0,0,0,2.94,128.58,0,60.85,8.83,3.93,0.98,9.82,0,0.98,0,0.98,0,0.98,0,0,26.5,0,0.98,7.85,40.24,0.98,0,0.98,0,0,1.96,0,0,0.98,1.96,0,2.94,0,0,0,0.98,0
 72-82,0,0,0,1.96,4.91,0,77.55,0.98,1.96,0,8.83,1.96,3.93,0,0.98,0.98,0,0,0,22.58,0,0.98,4.91,21.6,0.98,0,1.96,0,0.98,1.96,0,0,0.98,0.98,0,0.98,0.98,0,0,2.94,0
 84-94,0,0,0,3.19,6.37,0,60.54,0,3.19,0,8.5,2.12,1.06,3.19,0,1.06,0,1.06,0,19.12,0,3.19,5.31,21.24,1.06,2.12,3.19,0,1.06,6.37,0,0,1.06,0,0,0,1.06,1.06,1.06,3.19,0
 96-106,0,0,0,7.65,3.28,1.09,43.71,4.37,3.28,1.09,28.41,3.28,4.37,1.09,1.09,0,1.09,2.19,1.09,21.86,0,3.28,3.28,16.39,2.19,3.28,16.39,0,1.09,5.46,0,0,1.09,1.09,0,0,3.28,1.09,2.19,7.65,0
108-118,0,0,0,21.45,13.79,0.77,67.4,3.06,16.85,3.06,39.06,2.3,1.53,1.53,4.6,0.77,3.06,11.49,2.3,36.77,1.53,1.53,7.66,69.7,6.13,2.3,30.64,0,1.53,19.15,0,0,3.83,3.06,0,3.83,6.13,1.53,1.53,5.36,0.77
120,0,0,0,9.8,5.88,0,48.99,1.96,1.96,0,11.76,1.96,0,7.84,1.96,1.96,3.92,1.96,0,27.44,0,0,7.84,41.16,5.88,0,15.68,0,1.96,9.8,0,0,1.96,0,0,0,0,0,3.92,0,0
