stage,epidermis,fast_muscle,ionocyte,liver,mesenchyme,mucous,muscle,neural,periderm,spinal_cord,vasculature
 14-21,0,0,2,0,0,0,0,0,0,1,1
 24-34,0,0,44.33,0.82,0,2.46,0.82,1.64,0,0.82,0
 36-46,0.81,0,24.17,0,0,1.61,0,0,0,0,0
 48-58,0,0,8.61,0,0.57,1.15,0.57,2.3,0,0,0
 60-70,0,0,2.94,0,0,0.98,0,0.98,0,0.98,0
 72-82,0,0,9.82,0,0.98,0,0,1.96,0,0,0
 84-94,2.12,0,16.99,0,0,2.12,0,0,1.06,0,0
 96-106,0,1.09,18.58,0,0,2.19,0,0,0,0,0
108-118,0.77,0,16.85,0,0,0.77,0,0.77,0.77,0,0.77
120,1.96,0,3.92,0,0,0,0,0,0,0,0
