stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,7,0,0,0
 24-34,0,0,1.64,1.64,0,0,0,0,0,0,0,0,0.82,0,0,0,18.06,0,0,0,0,0,0,11.49,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,4.83,49.15,0,0,0,0,0,0,8.86,0,0,0
 48-58,0,0,1.15,0,2.87,0,0,0.57,1.72,0.57,2.3,0,5.74,0,1.15,6.31,52.22,0,0,0,0,0,0,9.18,0,0.57,0
 60-70,0,0,0.98,0,2.94,0,0,0,3.93,0.98,2.94,0,17.67,0,3.93,2.94,79.5,0.98,0,0,0,0,0,7.85,0,1.96,0
 72-82,0,0,0,0,7.85,0.98,0,0,14.72,3.93,0,0,26.5,0,4.91,4.91,109.95,0,0,0,0,0,0,2.94,0,11.78,12.76
 84-94,0,0,0,1.06,10.62,0,0,0,6.37,5.31,0,1.06,21.24,0,2.12,2.12,39.3,0,0,0,0,1.06,0,1.06,1.06,3.19,13.81
 96-106,0,0,0,2.19,4.37,0,0,0,15.3,9.84,1.09,0,21.86,1.09,4.37,3.28,46.99,0,2.19,0,0,1.09,0,4.37,0,5.46,19.67
108-118,0,0,0,0.77,11.49,0.77,0,0,7.66,2.3,0,0,11.49,0,3.83,6.13,54.38,0,0,0,1.53,0,0,3.06,0,3.83,7.66
120,0,0,0,0,5.88,0,0,1.96,7.84,1.96,0,0,5.88,0,1.96,5.88,66.63,0,0,0,0,0,0,0,0,3.92,7.84
