stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,50.35,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,7,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,29,49,0,1,0,0,4,3,0,3,16,0,0,0,0,0
 24-34,0,0,0.82,1.64,5.75,0,0,12.31,0,0.82,0,2.46,0,0,0,0,0,0,0,0,0,10.67,0,0,8.21,137.9,35.3,1.64,0.82,0,0,4.1,1.64,0,0,54.18,0,0,4.93,0,1.64
 36-46,0,0,0,0,2.42,0,0,24.17,0,1.61,0,5.64,0,0,0,0,0.81,0,0.81,0,0.81,27.39,0,1.61,3.22,162.75,33.03,4.03,0.81,0,0,8.06,0,0.81,0,58.81,0,0,4.83,0,0
 48-58,0,0,0,0,2.87,0.57,0,30.41,1.72,0.57,1.72,9.18,1.15,0,0.57,0.57,1.72,0.57,0.57,0,0,21.23,1.15,1.72,5.74,150.34,18.94,2.87,0.57,0,0.57,3.44,0,1.15,0,44.18,0,0,2.87,0,1.72
 60-70,0,0,0,0,1.96,3.93,0,81.47,4.91,1.96,2.94,15.7,0,0,0,0.98,0,3.93,2.94,0,0.98,44.17,0,0,6.87,225.75,14.72,0.98,0.98,0,0.98,4.91,0,0,0,38.28,0,0.98,6.87,0.98,0.98
 72-82,0,0,0.98,0.98,7.85,29.45,0,131.54,0,4.91,1.96,43.19,0.98,0,1.96,2.94,1.96,0,2.94,1.96,1.96,99.15,0.98,0.98,1.96,245.42,14.72,2.94,7.85,0,0,7.85,0,0,0,38.28,0,0,8.83,0.98,2.94
 84-94,0,0,1.06,0,21.24,28.68,0,92.4,2.12,6.37,1.06,22.3,3.19,0,1.06,1.06,2.12,3.19,3.19,0,4.25,60.54,3.19,1.06,2.12,122.13,21.24,3.19,10.62,0,0,23.36,1.06,0,0,11.68,3.19,4.25,1.06,0,2.12
 96-106,0,0,0,0,25.14,41.53,1.09,86.33,2.19,6.56,0,27.32,2.19,0,1.09,3.28,3.28,3.28,6.56,2.19,2.19,63.39,1.09,5.46,9.84,118.03,10.93,7.65,7.65,0,0,26.23,0,1.09,0,9.84,2.19,1.09,16.39,2.19,3.28
108-118,0,0,0.77,0.77,24.51,11.49,3.06,64.34,1.53,2.3,0.77,22.21,3.06,0,0,7.66,2.3,3.83,3.06,0.77,4.6,69.7,0.77,3.06,5.36,115.66,18.38,1.53,8.43,0,0,17.62,0.77,0,0,4.6,0.77,0,9.96,2.3,6.89
120,0,0,0,0,29.4,7.84,0,52.91,0,1.96,0,23.52,1.96,0,1.96,3.92,1.96,1.96,3.92,1.96,0,54.87,0,0,5.88,131.31,41.16,0,1.96,0,0,27.44,0,0,0,7.84,0,0,3.92,0,0
