stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,ionocyte,mesenchyme,muscle,neural,otic,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,2.42,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,9.82,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,56.94,0,0,0,0,0.98,0,0.98,0.98,0.98
 84-94,0,0,0,57.35,0,0,0,0,1.06,0,1.06,0,0
 96-106,0,1.09,0,108.19,1.09,0,0,0,1.09,0,2.19,0,1.09
108-118,0,0.77,0.77,88.09,0,0.77,0,0,0.77,0,9.19,0,0
120,0,0,0,176.38,0,0,1.96,1.96,0,1.96,7.84,0,1.96
